food_id,canonical_name,display_name,food_family_name,entity_level,food_group,food_subgroup,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,food_subgroup_detail,processing_state,preservation_state,fibre_g_100g,sugars_g_100g,salt_g_100g,water_g_100g,alcohol_g_100g,helper_macro_profile,helper_use_as_protein,helper_use_as_carb_side,helper_use_as_veg_side,helper_is_sweet,helper_is_salty,helper_is_drink,helper_is_vegetarian,helper_is_vegan,helper_protein_bucket,helper_carb_bucket,helper_veg_bucket,primary_source_uid,primary_source_name,primary_source_ciqual_code,primary_source_name_tags,qc_macro_complete,qc_taxonomy_complete,qc_canonicalization_status,qc_scope_status,qc_source_merge_count,qc_notes
food_pop_corn_or_oil_popped_maize_salted,pop_corn_or_oil_popped_maize_salted,"Pop-corn or oil popped maize, salted",Pop-corn or oil popped maize,semi_atomic,cereal products,savoury biscuits,485.0,11.0,52.6,23.8,,,,8.1,0.57,1.2,2.95,0.0,protein_high;carb_high;fat_high,False,True,False,False,False,,True,True,,grains_refined,,pop-corn-or-oil-popped-maize-salted_9230,"Pop-corn or oil popped maize, salted",9230,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_pop_corn_or_air_popped_maize_unsalted,pop_corn_or_air_popped_maize_unsalted,"Pop-corn or air-popped maize, unsalted",Pop-corn or air-popped maize,semi_atomic,cereal products,savoury biscuits,417.0,10.2,60.0,12.3,,,,12.8,0.87,0.02,3.32,0.0,protein_high;carb_high;fat_high,False,True,False,False,False,,True,True,,grains_refined,,pop-corn-or-air-popped-maize-unsalted_9231,"Pop-corn or air-popped maize, unsalted",9231,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_pop_corn_or_popped_maize_with_caramel,pop_corn_or_popped_maize_with_caramel,"Pop-corn or popped maize, with caramel",Pop-corn or popped maize,semi_atomic,cereal products,savoury biscuits,418.0,3.0,85.4,6.5,,,,3.0,62.0,0.14,2.0,0.0,carb_high;fat_moderate,False,True,False,True,False,,True,True,,grains_refined,,pop-corn-or-popped-maize-with-caramel_9232,"Pop-corn or popped maize, with caramel",9232,with_caramel,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_prawn_crackers,prawn_crackers,Prawn crackers,Prawn crackers,semi_atomic,cereal products,savoury biscuits,508.0,3.1,63.7,26.6,,,,1.0,7.1,1.53,3.5,0.0,carb_high;fat_high,False,True,False,False,True,,,,,,,prawn-crackers_38104,Prawn crackers,38104,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_corn_chips_or_tortilla_chips,corn_chips_or_tortilla_chips,Corn chips or tortilla chips,Corn chips or tortilla chips,semi_atomic,cereal products,savoury biscuits,495.0,6.56,59.5,24.7,,,,4.19,2.62,1.42,2.6,0.0,protein_moderate;carb_high;fat_high,False,True,False,False,False,,True,True,,bread,,corn-chips-or-tortilla-chips_38105,Corn chips or tortilla chips,38105,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_puffed_salty_snacks_made_from_potato,puffed_salty_snacks_made_from_potato,"Puffed salty snacks, made from potato","Puffed salty snacks, made from potato",semi_atomic,cereal products,savoury biscuits,484.0,4.25,60.5,24.1,,,,3.81,1.61,3.14,3.0,0.0,carb_high;fat_high,False,True,False,False,True,,True,True,,potatoes,,puffed-salty-snacks-made-from-potato_38106,"Puffed salty snacks, made from potato",38106,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_salty_snacks_mini_pretzels_or_sticks,salty_snacks_mini_pretzels_or_sticks,"Salty snacks, mini pretzels or sticks","Salty snacks, mini pretzels or sticks",semi_atomic,cereal products,savoury biscuits,379.0,11.2,74.4,3.13,,,,4.32,2.02,3.73,2.9,0.0,protein_high;carb_high,False,True,False,False,True,,,,,,,salty-snacks-mini-pretzels-or-sticks_38107,"Salty snacks, mini pretzels or sticks",38107,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_puffed_salty_snacks_made_from_potato_and_soy,puffed_salty_snacks_made_from_potato_and_soy,"Puffed salty snacks, made from potato and soy","Puffed salty snacks, made from potato and soy",semi_atomic,cereal products,savoury biscuits,409.0,17.4,58.3,9.33,,,,7.67,7.17,2.08,,0.0,protein_high;carb_high;fat_moderate,False,True,False,False,True,,True,True,,potatoes,,puffed-salty-snacks-made-from-potato-and-soy_38108,"Puffed salty snacks, made from potato and soy",38108,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_salty_snacks,salty_snacks,Salty snacks,Salty snacks,semi_atomic,cereal products,savoury biscuits,486.0,9.2,60.3,22.3,,,,3.41,3.82,2.43,1.78,0.0,protein_moderate;carb_high;fat_high,False,True,False,False,True,,,,,,,salty-snacks_38399,Salty snacks,38399,,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
food_puffed_salty_snacks_made_from_maize_corn_without_peanuts,puffed_salty_snacks_made_from_maize_corn_without_peanuts,"Puffed salty snacks, made from maize/corn, without peanuts","Puffed salty snacks, made from maize / corn",semi_atomic,cereal products,savoury biscuits,489.0,6.96,62.1,23.0,,,,3.1,2.79,2.48,1.81,0.0,protein_moderate;carb_high;fat_high,False,True,False,False,True,,True,True,,grains_refined,,puffed-salty-snacks-made-from-maize-corn-without-peanuts_38400,"Puffed salty snacks, made from maize/corn, without peanuts",38400,without_peanuts,True,True,normalized_from_source_name,review_non_ingredient_first,1,subgroup out of scope: savoury biscuits
