recipe_id_candidate,display_name,ingredient_position,ingredient_raw_text,ingredient_name_normalized,quantity_value,quantity_unit,old_quantity_grams_estimated,new_quantity_grams_estimated,unit_rule_key,unit_rule_reason,mapping_status,mapped_food_id,safety
recipes_v1_1_candidate_001,Pork and Pepper Stir Fry,3,2 tablespoons minced garlic,garlic,2.0,tablespoon,,16.8,fresh_garlic_tablespoon,fresh_garlic_explicit_density,accepted_auto,food_garlic_fresh,safe_auto
recipes_v1_1_candidate_002,Alysia's Basic Meat Lasagna,8,1 teaspoon dried oregano,oregano,1.0,teaspoon,,1,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_006,Filipino Pork Adobo,4,1 tablespoon minced garlic,garlic,1.0,tablespoon,,8.4,fresh_garlic_tablespoon,fresh_garlic_explicit_density,accepted_auto,food_garlic_fresh,safe_auto
recipes_v1_1_candidate_006,Filipino Pork Adobo,6,1 teaspoon fresh-ground black pepper,black pepper,1.0,teaspoon,,2.3,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,8,1 cup chicken broth,chicken broth,1.0,cup,,240,chicken broth_cup,chicken_broth_cup_density,unmapped,,safe_auto
recipes_v1_1_candidate_007,Spicy Sausage and Rice Casserole,10,1 teaspoon ground black pepper,black pepper,1.0,teaspoon,,2.3,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_008,White Chili with Ground Turkey,6,1 tablespoon dried oregano,oregano,1.0,tablespoon,,3,dried oregano_tablespoon,dried_oregano_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_008,White Chili with Ground Turkey,10,5 cups chicken broth,chicken broth,5.0,cup,,1200,chicken broth_cup,chicken_broth_cup_density,unmapped,,safe_auto
recipes_v1_1_candidate_010,Angela's Asian-Inspired Chicken Noodle Soup,5,"1 carrot, sliced",carrot,1.0,count,,60,carrot_count,carrot_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,7,1 teaspoon minced garlic,garlic,1.0,teaspoon,,2.8,fresh_garlic_teaspoon,fresh_garlic_explicit_density,accepted_auto,food_garlic_fresh,safe_auto
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,8,1 teaspoon dried oregano,oregano,1.0,teaspoon,,1,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_013,Ground Beef Casserole with Rice,9,1 teaspoon dried basil,basil,1.0,teaspoon,,0.7,dried basil_teaspoon,dried_basil_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_015,Sheet Pan Garlic Butter Steak Bites with Veggies,6,"1/2 teaspoon black pepper,",black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_016,Sheet Pan Tilapia and Potatoes,7,1/2 teaspoon ground black pepper,black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_018,Shrimp Marinara,10,1 teaspoon dried oregano,oregano,1.0,teaspoon,,1,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_019,Turmeric Black Pepper Chicken with Broccoli,3,3/4 teaspoon ground black pepper,black pepper,0.75,teaspoon,,1.725,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_022,Grandma's Chinese Vegetable Soup,6,"1 large carrot, sliced",carrot,1.0,count,,60,carrot_count,carrot_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_023,Beef and Broccoli Udon Noodles,2,1 tablespoon cornstarch,cornstarch,1.0,tablespoon,,8,cornstarch_tablespoon,cornstarch_tablespoon_density,accepted_auto,food_cornstarch,safe_auto
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,6,1 teaspoon ground black pepper,black pepper,1.0,teaspoon,,2.3,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_026,Hibachi Chicken and Rice Casserole,8,1 cup onion,onion,1.0,cup,,160,onion_cup,onion_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_027,Linda's Lasagna Recipe,6,1 tablespoon dried oregano,oregano,1.0,tablespoon,,3,dried oregano_tablespoon,dried_oregano_tablespoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_027,Linda's Lasagna Recipe,9,¼ teaspoon ground black pepper,black pepper,0.25,teaspoon,,0.575,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_028,Easy Skillet Lasagna,6,2 teaspoons dried basil (Optional),basil,2.0,teaspoon,,1.4,dried basil_teaspoon,dried_basil_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_028,Easy Skillet Lasagna,7,2 teaspoons dried oregano (Optional),oregano,2.0,teaspoon,,2,dried oregano_teaspoon,dried_oregano_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_028,Easy Skillet Lasagna,9,1 teaspoon black pepper,black pepper,1.0,teaspoon,,2.3,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_029,Air Fryer Everything-Bagel Salmon Dinner,5,"1/4 teaspoon ground black pepper, divided",black pepper,0.25,teaspoon,,0.575,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_030,Stuffed Eggplant,4,1/2 teaspoon ground black pepper,black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_030,Stuffed Eggplant,6,1 cup chopped onion,onion,1.0,cup,,160,onion_cup,onion_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_031,Spaghetti Squash Carbonara,7,1 tablespoon ground black pepper,black pepper,1.0,tablespoon,,6.9,black pepper_tablespoon,black_pepper_tablespoon_density,accepted_auto,food_black_pepper_powder,safe_auto
recipes_v1_1_candidate_032,Slow Cooker Tuscan Chicken Meatballs with Gnocchi,3,1/4 cup onion,onion,0.25,cup,,40,onion_cup,onion_explicit_household_weight,review_needed,,safe_auto
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,10,1 teaspoon dried basil,basil,1.0,teaspoon,,0.7,dried basil_teaspoon,dried_basil_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_033,Ground Turkey and Zucchini Skillet,11,1 teaspoon dried thyme,thyme,1.0,teaspoon,,1,dried thyme_teaspoon,dried_thyme_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,5,1 teaspoon dried thyme,thyme,1.0,teaspoon,,1,dried thyme_teaspoon,dried_thyme_teaspoon_density,review_needed,,safe_auto
recipes_v1_1_candidate_034,Slow Cooker Chicken and Rice,9,1/2 teaspoon ground black pepper,black pepper,0.5,teaspoon,,1.15,black pepper_teaspoon,black_pepper_teaspoon_density,accepted_auto,food_black_pepper_powder,safe_auto
