final_recipe_id,source_row_number,recipe_signature,recipe_title,category,subcategory,description,ingredients_json,directions_json,num_ingredients,num_steps,recipe_kind_guess,final_subset_source,final_subset_reason,selection_score,noise_score
pilot_recipe_final_001,59640,d7d646c086b99ce1a3b35437e184c970c59323ba,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,"This zuppa Toscana recipe is exactly like the soup at ""OG.""","[""1 pound ground Italian sausage"", ""1 \u00bd teaspoons red pepper flakes"", ""1 large white onion, diced"", ""4 strips bacon, diced"", ""2 teaspoons garlic puree"", ""10 cups water"", ""5 cubes chicken bouillon"", ""1 pound russet potatoes, diced"", ""1 cup heavy whipping cream"", ""\u00bc bunch kale, chopped""]","[""Gather all ingredients."", ""Combine sausage and red pepper flakes in a skillet over medium heat; cook and stir until sausage is brown and crumbly, 7 to 10 minutes. Drain excess fat; transfer sausage to a bowl and set aside."", ""Cook onion, bacon, and garlic in the same skillet over medium-low heat until bacon is crisp and onions are soft, 10 to 15 minutes. Set aside."", ""Combine water and chicken bouillon in a large pot; bring to a boil. Stir in potatoes; cook until soft, about 15 minutes."", ""Pour in cream; simmer until heated through, about 2 minutes. Add sausage, onion mixture, and kale; cook and stir until flavors combine, about 10 minutes.""]",10,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.73,0
pilot_recipe_final_002,51397,a60e355be8f9680c8a80ee67dfd2498fb9f6d906,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,Fresh ahi tuna tacos with a refreshingly light pineapple salsa. Add a pre-packaged slaw mix with a ginger dressing if desired.,"[""2 tablespoons ground black pepper"", ""2 teaspoons salt"", ""2 teaspoons ground cumin"", ""2 teaspoons garlic powder"", ""2 teaspoons ground cinnamon"", ""1 pound ahi tuna steaks"", ""2 tablespoons olive oil"", ""4 tablespoons fat-free sour cream"", ""4 (10 inch) flour tortillas, warmed""]","[""Mix black pepper, salt, cumin, garlic powder, and cinnamon together in a small bowl. Rub all over tuna steaks. Cover and refrigerate for at least 15 minutes."", ""Meanwhile, stir pineapple, red onion, cilantro, lime juice, red pepper, and lime zest for salsa together in a bowl until combined. Cover and refrigerate until needed."", ""Heat oil in a cast iron skillet over medium heat. Add tuna steaks and cook to desired doneness, 1 1/2 to 2 minutes per side. An instant-read thermometer inserted into the center should read 140 degrees F (60 degrees C) for medium doneness. Remove from the skillet and slice steaks thinly."", ""Spread sour cream in a thin layer over each warmed tortilla. Add tuna slices, top with pineapple salsa, and wrap to seal.""]",9,4,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.73,0
pilot_recipe_final_003,35876,daa54550f8fdcfb5bcde9e8033f87f98d0c90972,Air Fryer Blackened Chicken Breasts,Healthy Recipes,Keto Diet,Cook these blackened chicken breasts in your air fryer — there's no need to dirty a cast iron skillet and fill your house with smoke!,"[""2 teaspoons paprika"", ""1 teaspoon ground thyme"", ""1 teaspoon cumin"", ""\u00bd teaspoon cayenne pepper"", ""\u00bd teaspoon onion powder"", ""\u00bd teaspoon black pepper"", ""\u00bc teaspoon salt"", ""2 teaspoons vegetable oil"", ""2 (6 ounce) skinless, boneless chicken breast halves""]","[""Mix paprika, thyme, cumin, cayenne, onion powder, black pepper, and salt together in a bowl; transfer to a large plate."", ""Preheat the air fryer to 360 degrees F (175 degrees C)."", ""Rub oil over each chicken breast until fully coated, then press into spice mixture until all sides are coated. Let sit for 5 minutes while the air fryer preheats. Place into the air fryer basket."", ""Air-fry chicken until no longer pink in the center and the juices run clear, about 20 minutes, flipping halfway through. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)."", ""Transfer chicken to a plate and let rest for 5 minutes before serving.""]",9,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.96,0
pilot_recipe_final_004,45823,ef2688e45dfdd9c2af28ab0ac78f0ce92d3d38ed,Apple Butter Meatballs,Main Dishes,Meatballs,"These apple butter meatballs combine savory ground beef and pork with a sweet and tangy apple butter glaze. The meatballs are baked until golden, then tossed in a smooth glaze made from apple butter, bourbon, soy sauce, and a touch of maple syrup. It's an easy yet flavorful dish, perfect as an appetizer or paired with a side for a quick and satisfying meal.","[""1/2 pound ground beef"", ""1/2 pound ground pork"", ""1/4 cup panko bread crumbs"", ""1/4 cup white onion"", ""1 large egg"", ""1/4 cup milk"", ""3/4 teaspoon salt"", ""1/2 teaspoon granulated garlic"", ""1/4 teaspoon black pepper""]","[""Preheat the oven to 375 degrees F (190 degrees C). Line a baking sheet with parchment paper."", ""Combine ground beef, ground pork, panko, onion, milk, egg, salt, granulated garlic, and pepper in a large bowl. If mixture is too soft or wet, place in the refrigerator for 15 to 20 minutes to firm up before rolling. Shape into 24 meatballs, about 1 1/2 inches in diameter, and place on the prepared baking sheet."", ""Bake meatballs in the preheated oven until no longer pink at the center and browned on the outside, about 20 minutes. An instant read thermometer inserted into the center of meatballs should read 165 degrees F (74 degrees C)."", ""Meanwhile, prepare apple butter bourbon glaze. In a small saucepan, whisk together apple butter, bourbon, soy sauce, maple syrup, and Dijon mustard. Bring to a simmer over medium-low heat and stir frequently until the sauce is smooth and just thickened, 5 to 7 minutes."", ""Remove meatballs from the oven and transfer to a large bowl. Pour glaze over meatballs and gently toss to coat evenly. Serve warm.""]",9,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.82,0
pilot_recipe_final_005,46978,c293a9704503e87039035d590f2856d533c9e28f,Asian Pork Tenderloin,Main Dishes,Roasts,This Asian pork recipe is simple and flavorful. Marinate the pork tenderloin for at least 8 hours (overnight is best) and flip it after 4 hours. It's great with rice and veggies like bok choy. Enjoy!,"[""1 (2 pound) fat-trimmed pork tenderloin"", ""\u2153 cup lite soy sauce"", ""\u00bc cup sesame oil"", ""2 tablespoons Worcestershire sauce"", ""3 green onions, chopped"", ""4 cloves garlic, crushed"", ""2 tablespoons packed light brown sugar"", ""1 \u00bd tablespoons Asian chile paste"", ""1 \u00bd teaspoons pepper""]","[""Place pork tenderloin in a shallow dish."", ""Pour soy sauce, sesame oil, and Worcestershire sauce into a medium bowl. Whisk in green onions, garlic, brown sugar, chile paste, and pepper until combined. Pour sauce over tenderloin, turning meat a few times to coat. Cover the dish and marinate in the refrigerator for 8 hours to overnight."", ""Preheat the oven to 450 degrees F (230 degrees C)."", ""Transfer pork tenderloin with marinade into an aluminum foil-lined baking pan."", ""Roast in the preheated oven until an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 25 to 30 minutes. Allow to stand 5 to 10 minutes before carving.""]",9,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.94,0
pilot_recipe_final_006,59169,527643530faef3f35b62ba37883d02bfdcb774c5,Asian-Style Meatloaf,Pork,Pork Meatloaf,"Hoisin sauce adds Asian flavor to this moist meatloaf — everyone loves it! Available in most grocery stores, hoisin is a cross between soy sauce and ketchup, and it makes a wonderful glaze for this meatloaf. Serve with rice and steamed broccoli. The leftovers make great sandwiches.","[""1 \u00bd pounds ground beef"", ""\u00bd pound ground pork"", ""3 slices bread, broken up into small pieces"", ""1 small onion, finely chopped"", ""2 stalks celery, finely chopped"", ""2 large eggs, lightly beaten"", ""3 tablespoons soy sauce"", ""2 tablespoons hoisin sauce"", ""1 tablespoon minced fresh ginger""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Make the meatloaf: Mix beef, pork, bread crumbs, onion, celery, eggs, soy sauce, hoisin, and ginger together in a bowl until well combined. Pat mixture into a 9x5-inch loaf pan."", ""Bake in the preheated oven for 40 minutes."", ""Meanwhile, make the glaze: Mix hoisin sauce and ketchup together in a small bowl."", ""Remove meatloaf from the oven and drain any grease from the pan. Spread glaze over top and continue baking until no longer pink in the center, about 20 more minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C). Let rest for 5 minutes before serving.""]",9,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.96,0
pilot_recipe_final_007,48504,a63c1a9b619eafed1a048d03112ab539a9b461d6,Authentic Chicken Adobo,Main Dishes,Filipino Main Dishes,"Adobo is a simple and hearty Filipino dish. In this version, chicken is marinated in vinegar and soy sauce, then slowly cooked with garlic and spices. Serve over steamed white rice.","[""2 cups coconut vinegar"", ""\u00bd cup soy sauce"", ""2 heads garlic, peeled and coarsely chopped, divided"", ""10 bay leaves"", ""1 tablespoon garlic powder"", ""1 \u00bd teaspoons ground black pepper"", ""3 teaspoons annatto powder, divided"", ""5 \u00bd pounds cut-up chicken parts"", ""3 tablespoons vegetable oil, divided""]","[""Combine vinegar, soy sauce, 1/2 of the chopped garlic, bay leaves, garlic powder, pepper, and 1 \u00bd teaspoons annatto powder in a large bowl. Add chicken, stir to coat, cover, and refrigerate for at least 4 hours."", ""Remove chicken from marinade and pat dry. Reserve marinade."", ""Heat 2 tablespoons vegetable oil in a large skillet over medium-high heat. Cook chicken until brown, about 4 minutes per side. Remove skillet from heat and set aside."", ""Heat remaining 1 tablespoon vegetable oil in a small skillet over medium heat. Cook and stir remaining 1/2 of the chopped garlic until brown, about 3 minutes. Add remaining 1 \u00bd teaspoons annatto powder, lower heat and simmer, about 3 minutes."", ""Pour annatto mixture over chicken and add reserved marinade. Bring to a simmer, cover, and cook until chicken is tender, about 45 minutes. Uncover and cook until sauce has reduced slightly, about 10 minutes more.""]",9,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,9.96,0
pilot_recipe_final_008,4038,f7855667afd71ccd39b38251754d0f9c273c1e23,BBQ NY Strip,Beef Recipes,Beef Ribs,"A quick and easy way to make a tasty, tender NY strip steak on the grill! Marinate for a minimum of 2 hours.","[""4 (6 ounce) New York strip steaks"", ""\u00bd cup extra virgin olive oil"", ""\u00bd cup Worcestershire sauce"", ""\u00bc cup steak seasoning"", ""4 tablespoons minced garlic"", ""1 tablespoon red wine vinegar"", ""\u00bd teaspoon dried basil"", ""\u00bd teaspoon Italian seasoning""]","[""Pierce steaks on all sides with a fork ."", ""Whisk olive oil, Worcestershire sauce, steak seasoning, garlic, vinegar, basil, and Italian seasoning together in a bowl and pour into a resealable plastic bag. Add steaks, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator for at least 2 hours."", ""When ready to cook, preheat an outdoor grill for high heat and lightly oil the grate."", ""Remove steaks from the marinade and shake off excess. Discard the remaining marinade."", ""Cook steaks on the preheated grill for 7 minutes on each side, or to desired doneness.""]",8,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.71,0
pilot_recipe_final_009,58609,b07801309f8bfe48678dc5aed00d42f3907933d3,Bacon-Wrapped Pork Medallions,Pork,Pork Tenderloin,This recipe for pork tenderloin wrapped in bacon is a variation of a recipe my mother used to make with my own spin on the seasonings. It's also one of our favorites to enjoy around the holidays!,"[""1 tablespoon garlic powder"", ""1 teaspoon seasoning salt"", ""1 teaspoon dried basil"", ""1 teaspoon dried oregano"", ""8 slices bacon"", ""2 pounds pork tenderloin"", ""2 tablespoons butter"", ""2 tablespoons olive oil""]","[""Preheat the oven to 400 degrees F (200 degrees C). Combine garlic powder, seasoning salt, basil, and oregano in a small bowl."", ""Cook bacon in a large, oven-safe skillet over medium-high heat, turning occasionally, until lightly browned and still flexible, 6 to 7 minutes. Transfer bacon to a paper towel-lined plate. Drain any excess bacon grease from the skillet."", ""Wrap four slices bacon around each tenderloin, securing each strip with 1 to 2 toothpicks. Slice tenderloins between each bacon strip to create a total of eight medallions. Dip medallions into seasoning mix on both sides."", ""Melt butter and oil together in the same skillet over medium-high heat. Add medallions and cook for 4 minutes on each side."", ""Transfer the skillet to the preheated oven and bake until pork is no longer pink in the center, 17 to 20 minutes. An instant-read thermometer inserted into the center should read 145 degrees F (63 degrees C).""]",8,5,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.71,0
pilot_recipe_final_010,5128,46f89358a3bc3967c80f3db36553818040effe57,Beef Noodle Soup,Beef Recipes,Beef Soup,"This delicious beef noodle soup was a favorite of mine while attending college. My family has been enjoying it ever since! Very easy and quick to make. It includes stew meat, mixed vegetables, and egg noodles in a beef broth base.","[""1 pound cubed beef stew meat"", ""1 cup chopped onion"", ""1 cup chopped celery"", ""1 cup chopped carrots"", ""\u00bc cup beef bouillon granules"", ""\u00bc teaspoon dried parsley"", ""1 pinch ground black pepper"", ""5 \u00be cups water"", ""2 \u00bd cups frozen egg noodles""]","[""Saut\u00e9 stew meat, onion, and celery in a large saucepan over medium-high heat until meat is browned on all sides, about 5 minutes."", ""Stir in carrots, then season with bouillon, parsley, and pepper. Stir in water and add egg noodles."", ""Bring to a boil, reduce heat to low, and simmer for 30 minutes.""]",9,3,standalone,kept_original,clear meal-like recipe shape for pilot parsing,7.48,0
