recipe_id_candidate,source_index,display_name,ingredient_position,ingredient_raw_text,ingredient_name_parsed,ingredient_name_normalized,quantity_value,quantity_unit,quantity_grams_estimated,parse_status,fooddb_version_used,mapped_food_id,mapped_food_canonical_name,mapping_status,mapping_confidence,mapping_method,mapping_notes
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,1,5 tablespoons olive oil,olive oil,olive oil,5.0,tablespoon,67.5,parsed_clean,fooddb_v1_1_draft_round2,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,2,¼ cup rice wine vinegar,rice wine vinegar,rice wine vinegar,0.25,cup,46.25,parsed_clean,fooddb_v1_1_draft_round2,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,3,2 tablespoons minced garlic,minced garlic,garlic,2.0,tablespoon,16.8,parsed_partial,fooddb_v1_1_draft_round2,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,4,1 tablespoon brown sugar,brown sugar,brown sugar,1.0,tablespoon,13.8,parsed_clean,fooddb_v1_1_draft_round2,food_sugar_brown,sugar_brown,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:brown sugar->food_sugar_brown
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,5,salt and ground black pepper to taste,salt and ground black pepper,salt and black pepper,,,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,compound_or_alternative_ingredient_name
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,1,1 tablespoon olive oil,olive oil,olive oil,1.0,tablespoon,13.5,parsed_clean,fooddb_v1_1_draft_round2,food_olive_oil_extra_virgin,olive_oil_extra_virgin,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:olive oil->food_olive_oil_extra_virgin
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,2,"1 small onion, diced",onion,onion,1.0,count,70.0,parsed_partial,fooddb_v1_1_draft_round2,food_onion_raw,onion_raw,accepted_auto,medium,review_promotion_v1_1,review_promotion_v1_1:onion_family_exact:onion
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,3,"4 cloves garlic, minced",garlic,garlic,4.0,clove,12.0,parsed_partial,fooddb_v1_1_draft_round2,food_garlic_fresh,garlic_fresh,accepted_auto,high,safe_alias_v1_1,safe_alias_v1_1:garlic->food_garlic_fresh
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,4,1 ½ pounds ground beef,ground beef,beef,1.5,pound,680.39,parsed_clean,fooddb_v1_1_draft_round2,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,5,1 teaspoon garlic powder,garlic powder,garlic powder,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft_round2,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,6,1 (28 ounce) jar sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,1.0,jar,,review_needed,fooddb_v1_1_draft_round2,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,7,1 (8 ounce) can tomato sauce,tomato sauce,tomato sauce,1.0,can,,review_needed,fooddb_v1_1_draft_round2,,,review_needed,low,review_candidate,"family_name_candidate_only; candidate_count=2; preview=food_tomato_sauce_with_meat_or_bolognese_sauce_prepacked,food_tomato_sauce_with_onions_prepacked"
