primary_source_uid,old_display_name,old_bucket,old_qc,new_display_name,new_bucket,new_qc,new_canonical_name,food_family_name
aioli-sauce-garlic-and-olive-oil-mayonnaise-prepacked_11168,"Aioli sauce, garlic and olive oil mayonnaise, prepacked",core,accepted_core,"Aioli sauce, garlic and olive oil mayonnaise, prepacked",scope_review,review_non_ingredient_first,aioli_sauce_garlic_and_olive_oil_mayonnaise_prepacked,Aioli sauce
almond-with-peel_15000,"Almond, , with peel",core,accepted_core,"Almond, with peel",core,accepted_core,almond_with_peel,Almond
american-style-sauce-prepacked_11167,"American-style sauce, prepacked",core,accepted_core,"American-style sauce, prepacked",scope_review,drop_from_fooddb_scope,american_style_sauce_prepacked,American-style sauce
armorican-style-sauce-prepacked_11111,"Armorican-style sauce, prepacked",core,accepted_core,"Armorican-style sauce, prepacked",scope_review,drop_from_fooddb_scope,armorican_style_sauce_prepacked,Armorican-style sauce
barbecue-sauce-prepacked_11100,"Barbecue sauce, prepacked",core,accepted_core,"Barbecue sauce, prepacked",scope_review,review_non_ingredient_first,barbecue_sauce_prepacked,Barbecue sauce
bread-french-bread-baguette-or-ball-multigrain-from-bakery_7255,"Bread, French bread, , baguette or ball, multigrain, from bakery",core,accepted_core,"Bread, French bread, baguette or ball, multigrain, from bakery",core,accepted_core,bread_french_bread_baguette_or_ball_multigrain_from_bakery,"Bread, french bread, multigrain, from bakery"
carbonara-sauce-cream-sauce-with-lardoons-prepacked_11128,"Carbonara sauce, cream sauce with lardoons, prepacked",core,accepted_core,"Carbonara sauce, cream sauce with lardoons, prepacked",scope_review,drop_from_fooddb_scope,carbonara_sauce_cream_sauce_with_lardoons_prepacked,Carbonara sauce
chicken-nugget-breaded-croquette_36027,"Chicken, nugget, breaded croquette",core,accepted_core,"Chicken, nugget, breaded croquette",scope_review,drop_from_fooddb_scope,chicken_nugget_breaded_croquette,"Chicken, nugget, breaded croquette"
chinese-cabbageor-bok-choi-bredes-rods-and-leafs-steamed-from-the-island-la-reunion-brassica-rapa-subsp-chinensis_20296,"Chinese cabbageor bok choï bredes, rods and leafs, steamed, from the island La Réunion, Brassica rapa subsp. Chinensis",core,accepted_core,"Chinese cabbage or bok choï bredes, rods and leafs, steamed, from the island La Réunion, Brassica rapa subsp. Chinensis",core,accepted_core,chinese_cabbage_or_bok_choi_bredes_rods_and_leafs_steamed_from_the_island_la_reunion_brassica_rapa_subsp_chinensis,"Chinese cabbage or bok choi bredes, rods and leafs, steamed"
common-mandarin-juice-pure-juice-filtered-sampled-in-the-island-of-la-martinique_13417,"Common mandarin juice, pure juice, filtered, sampled in the island of La Martinique",core,accepted_core,"Common mandarin juice, pure juice, filtered, sampled in the island of La Martinique",scope_review,review_non_ingredient_first,common_mandarin_juice_pure_juice_filtered_sampled_in_the_island_of_la_martinique,"Common mandarin juice, pure juice, filtered"
fermented-milk-drink-plain-skimmed-milk_19801,"Fermented milk drink, plain, skimmed milk",core,accepted_core,"Fermented milk drink, plain, skimmed milk",scope_review,review_non_ingredient_first,fermented_milk_drink_plain_skimmed_milk,Fermented milk drink
spanish-style-tortilla-with-onions-omelette-with-potatoes-and-onions-prepacked_22510,"Spanish-style tortilla with onions, omelette with potatoes and onions, prepacked",core,accepted_core,"Spanish-style tortilla with onions, omelette with potatoes and onions, prepacked",scope_review,drop_from_fooddb_scope,spanish_style_tortilla_with_onions_omelette_with_potatoes_and_onions_prepacked,Spanish-style tortilla with onions
spring-still-water-cristaline-bottled_76080,"Spring still water, Cristaline, bottled",core,accepted_core,"Spring still water, bottled",core,accepted_core,spring_still_water_bottled,Spring still water
water-mineral-non-carbonated-eden_76102,"Water, mineral, non-carbonated, EDEN",core,accepted_core,"Mineral still water, bottled",core,accepted_core,mineral_still_water_bottled,Mineral still water
water-mineral-non-carbonated-mont-blanc_76101,"Water, mineral, non-carbonated, MONT-BLANC",core,accepted_core,,,,,
