recipe_source_id,recipe_title_raw,category_raw,subcategory_raw,ingredient_index,ingredient_raw,section_name_raw,is_section_header,quantity_raw,quantity_value_low,quantity_value_high,unit_raw,unit_normalized,ingredient_text_clean,food_name_candidate,preparation_note,optional_flag,garnish_flag,alternative_flag,packaging_flag,parse_status,parse_notes,matched_food_id,matched_canonical_name,matched_display_name,matched_food_family_name,match_method,match_confidence,mapping_status,mapping_notes,candidate_count,candidate_food_ids_preview
pilot_recipe_final_001,"""OG"" Zuppa Toscana Soup",Pork,Pork Soup,6,10 cups water,,0,10,10.0,10.0,cups,cup,water,water,,0,0,0,0,parsed_clean,,food_water_bottled,water_bottled,"Water, bottled",Water,exact_family_name,medium,review_needed,exact food_family_name match,1,food_water_bottled
pilot_recipe_final_004,Apple Butter Meatballs,Main Dishes,Meatballs,5,1 large egg,,0,1,1.0,1.0,,,large egg,egg,large,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw"
pilot_recipe_final_004,Apple Butter Meatballs,Main Dishes,Meatballs,6,1/4 cup milk,,0,1/4,0.25,0.25,cup,cup,milk,milk,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,3,"food_milk_powder_semi_skimmed,food_milk_powder_skimmed,food_milk_powder_whole"
pilot_recipe_final_005,Asian Pork Tenderloin,Main Dishes,Roasts,6,"4 cloves garlic, crushed",,0,4,4.0,4.0,cloves,clove,"garlic, crushed",garlic,crushed,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked"
pilot_recipe_final_006,Asian-Style Meatloaf,Pork,Pork Meatloaf,4,"1 small onion, finely chopped",,0,1,1.0,1.0,,,"small onion, finely chopped",onion,small; finely chopped,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw"
pilot_recipe_final_006,Asian-Style Meatloaf,Pork,Pork Meatloaf,6,"2 large eggs, lightly beaten",,0,2,2.0,2.0,,,"large eggs, lightly beaten",eggs,large; lightly beaten,0,0,0,0,parsed_partial,size_descriptor_removed; preparation_note_from_commas; count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw"
pilot_recipe_final_007,Authentic Chicken Adobo,Main Dishes,Filipino Main Dishes,3,"2 heads garlic, peeled and coarsely chopped, divided",,0,2,2.0,2.0,heads,head,"garlic, peeled and coarsely chopped, divided",garlic,peeled and coarsely chopped; divided,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked"
pilot_recipe_final_008,BBQ NY Strip,Beef Recipes,Beef Ribs,5,4 tablespoons minced garlic,,0,4,4.0,4.0,tablespoons,tablespoon,minced garlic,minced garlic,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,light_normalization_rule:minced garlic->garlic; exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked"
pilot_recipe_final_010,Beef Noodle Soup,Beef Recipes,Beef Soup,2,1 cup chopped onion,,0,1,1.0,1.0,cup,cup,chopped onion,chopped onion,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,light_normalization_rule:chopped onion->onion; exact food_family_name match; ambiguous_candidate_set,4,"food_onion_cooked,food_onion_dried,food_onion_frozen_raw,food_onion_raw"
pilot_recipe_final_010,Beef Noodle Soup,Beef Recipes,Beef Soup,8,5 ¾ cups water,,0,5 3/4,5.75,5.75,cups,cup,water,water,,0,0,0,0,parsed_clean,,food_water_bottled,water_bottled,"Water, bottled",Water,exact_family_name,medium,review_needed,exact food_family_name match,1,food_water_bottled
pilot_recipe_final_011,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,1,"1 (2-pound) beef tenderloin, trimmed, with silver skin removed",,0,1 (2-pound),1.0,1.0,,,"beef tenderloin, trimmed, with silver skin removed",beef tenderloin,trimmed; with silver skin removed,0,0,0,0,parsed_partial,pack_size_note; leading_parenthetical_note; preparation_note_from_commas; count_without_measure_unit,food_beef_tenderloin_raw,beef_tenderloin_raw,"Beef, tenderloin, raw","Beef, tenderloin",family_fallback,low,review_needed,normalized food_family_name fallback,1,food_beef_tenderloin_raw
pilot_recipe_final_011,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,6,3/4 cup mayonnaise,,0,3/4,0.75,0.75,cup,cup,mayonnaise,mayonnaise,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_mayonnaise_70_fat_and_more_prepacked,food_mayonnaise_reduced_fat_or_light_mayonnaise_prepacked"
pilot_recipe_final_011,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,9,"fresh parsley, for garnish",,0,,,,,,fresh parsley,fresh parsley,,0,1,0,0,review_needed,missing_quantity; garnish_phrase,,,,,no_match,low,review_needed,no_exact_or_normalized_match,0,
pilot_recipe_final_012,"Bo Luc Lac ""French-Vietnamese Shaking Beef""",Main Dishes,French Main Dishes,1,2 tablespoons minced garlic,,0,2,2.0,2.0,tablespoons,tablespoon,minced garlic,minced garlic,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,light_normalization_rule:minced garlic->garlic; exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked"
pilot_recipe_final_013,Bourbon Bacon Pulled Pork,Pork,Pork Loin,5,2 pounds pork loin,,0,2,2.0,2.0,pounds,pound,pork loin,pork loin,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_pork_loin_cooked,food_pork_loin_raw"
pilot_recipe_final_014,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,2,6 eggs,,0,6,6.0,6.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,4,"food_egg_fried_salted,food_egg_fried_without_added_fat,food_egg_powder,food_egg_raw"
pilot_recipe_final_014,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,3,⅛ cup milk,,0,1/8,0.125,0.125,cup,cup,milk,milk,,0,0,0,0,parsed_clean,,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,3,"food_milk_powder_semi_skimmed,food_milk_powder_skimmed,food_milk_powder_whole"
pilot_recipe_final_015,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,2,"2 cloves garlic, sliced thin",,0,2,2.0,2.0,cloves,clove,"garlic, sliced thin",garlic,sliced thin,0,0,0,0,parsed_partial,preparation_note_from_commas,,,,,exact_family_name,medium,review_needed,exact food_family_name match; ambiguous_candidate_set,2,"food_garlic_powder_dried,food_garlic_roasted_baked"
pilot_recipe_final_015,"Broiled Chicken Breasts with Herbs, Carrots, and Red Potatoes",Healthy Recipes,Healthy Kid Recipes,6,"4 carrots, halved lengthwise and cut crosswise into 1-inch pieces",,0,4,4.0,4.0,,,"carrots, halved lengthwise and cut crosswise into 1-inch pieces",carrots,halved lengthwise and cut crosswise into 1-inch pieces,0,0,0,0,parsed_partial,preparation_note_from_commas; count_without_measure_unit,,,,,family_fallback,low,review_needed,singularized food_family_name fallback; ambiguous_candidate_set,9,"food_carrot_boiled_cooked_in_water_crunchy,food_carrot_boiled_cooked_in_water_tender,food_carrot_canned_drained,food_carrot_cooked,food_carrot_dehydrated"
