recipe_id_candidate,source_index,display_name,source_category,source_subcategory,recipe_kind_guess,primary_protein,protein_hits_detected,review_status,review_reason,is_weird_or_random,is_too_american_processed,is_complete_meal_really,has_clear_protein,has_clear_carb_or_veg,likely_mapping_risk,title_quality_score,selection_reason,num_ingredients,num_steps
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,Pork,Pork Stir-Fry,complete_main,pork,pork,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,5,4
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,Lasagna,Meat Lasagna,complete_main,beef,beef,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,8,5
recipes_v1_1_candidate_003,45080,Salmon Couscous Salad,Lunch,Bowl Recipes,salad,fish,fish,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,6,4
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,Main Dishes,Lasagna,complete_main,fish,fish|egg,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,12,4
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,Casseroles,Seafood Casserole,complete_main,fish,fish,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,9,4
recipes_v1_1_candidate_006,48491,Filipino Pork Adobo,Main Dishes,Filipino Main Dishes,complete_main,pork,pork,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,8,1
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,Casseroles,Rice Casserole,complete_main,pork,pork,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,3
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,Main Dishes,Main Dish Soups And Stews,soup,turkey,turkey,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,12,6
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,Gluten-Free,Gluten-Free Main Dishes,complete_main,beef,beef|egg,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,10,6
recipes_v1_1_candidate_010,14446,Angela's Asian-Inspired Chicken Noodle Soup,Chicken Noodle Soups,Chicken Noodle Soups,soup,chicken,chicken,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,6,1
recipes_v1_1_candidate_011,52979,Grilled Mediterranean Vegetable Sandwich,Mushrooms,Vegetarian Mushroom Main Dishes,complete_main,vegetarian,vegetarian,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,7,5
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,Mushrooms,Vegetarian Mushroom Main Dishes,complete_main,vegetarian,vegetarian,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,10,2
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,Casseroles,Rice Casserole,complete_main,beef,beef,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,12,4
recipes_v1_1_candidate_014,59533,Korean Fried Pork With Stir-Fried Celery,Pork,Pork Stir-Fry,complete_main,pork,pork,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,12,3
recipes_v1_1_candidate_015,26203,Sheet Pan Garlic Butter Steak Bites with Veggies,Dinner,Sheet Pan Dinners,complete_main,beef,beef,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,6
recipes_v1_1_candidate_016,26208,Sheet Pan Tilapia and Potatoes,Dinner,Sheet Pan Dinners,complete_main,fish,fish,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,4
recipes_v1_1_candidate_017,36637,Stir Fried Pasta with Veggies,High Fiber,High-Fiber Main Dishes,complete_main,chicken,chicken,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,3
recipes_v1_1_candidate_018,45807,Shrimp Marinara,Main Dishes,Seafood Main Dishes,complete_main,fish,fish,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,6
recipes_v1_1_candidate_019,46997,Turmeric Black Pepper Chicken with Broccoli,Main Dishes,Stir-Fries,complete_main,chicken,chicken,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,4
recipes_v1_1_candidate_020,48701,Thai Fried Rice,Main Dishes,Thai Main Dishes,complete_main,pork,pork|egg,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,4
recipes_v1_1_candidate_021,46164,Kelsey's Favorite Stuffed Green Peppers,Main Dishes,Stuffed Main Dishes,complete_main,beef,beef,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,10,9
recipes_v1_1_candidate_022,15547,Grandma's Chinese Vegetable Soup,Chinese,Chinese Soups And Stews,soup,pork,pork,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,8,2
recipes_v1_1_candidate_023,29428,Beef and Broccoli Udon Noodles,Flank Steak,Flank Steak,complete_main,beef,beef,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,6,8
recipes_v1_1_candidate_024,43996,Vegan Bean Taco Filling,Low Fat,Low-Fat Main Dishes,complete_main,vegetarian,vegetarian,keep,quality_pass,False,False,True,True,True,medium,8.0,main_complete_or_near_complete,11,1
