pilot_recipe_id,source_row_number,recipe_title,category,subcategory,num_ingredients,num_steps,duplicate_group_size,selection_score,noise_score,recipe_kind_guess,audit_decision,audit_reason
pilot_recipe_001,48504,Authentic Chicken Adobo,Main Dishes,Filipino Main Dishes,9,5,2,9.96,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_002,47659,Grilled Chicken Marinade,Main Dishes,Summer Main Dishes,9,5,2,9.96,0,sauce_or_dressing,move_to_review,"marinade component, useful but better reviewed before parsing"
pilot_recipe_003,45755,Hot Honey Shrimp,Main Dishes,Seafood Main Dishes,9,5,2,9.96,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_004,26889,Meet Lemon Pesto: The 5-Ingredient No-Cook Sauce Ready Before Your Pasta's Done Boiling,Dinner,Side Dishes,9,5,2,9.96,0,sauce_or_dressing,move_to_review,"standalone sauce recipe, not a full meal recipe"
pilot_recipe_005,26183,Sheet Pan Halibut with Orange and Fennel,Dinner,Sheet Pan Dinners,9,5,2,9.96,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_006,46978,Asian Pork Tenderloin,Main Dishes,Roasts,9,5,3,9.94,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_007,26109,Mama's Best Broiled Tomato Sandwich,Dinner,Quick And Easy Dinners For One,9,5,3,9.94,0,standalone,move_to_review,sandwich format may add bread-heavy mapping noise
pilot_recipe_008,47204,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,9,5,4,9.92,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_009,26162,Chicken with Lemon-Caper Sauce,Dinner,Cooking For Two,9,5,4,9.92,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_010,45991,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,9,5,5,9.9,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_011,46975,Restaurant-Style Prime Rib Roast,Main Dishes,Roasts,9,5,5,9.9,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_012,26735,Steak Chimichurri Dense Bean Salad,Dinner,Beef Steaks,9,5,5,9.9,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_013,45849,Garlic Ginger Chicken Meatball Bowls,Main Dishes,Meatballs,9,5,6,9.88,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_014,47646,Marinated Tuna Steak,Main Dishes,Summer Main Dishes,9,5,6,9.88,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_015,46542,"Easy Bacon, Onion, and Cheese-Stuffed Burgers",Main Dishes,Burgers,9,5,8,9.84,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_016,47023,Quick Beef Stir-Fry,Main Dishes,Stir-Fries,9,5,8,9.84,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_017,45823,Apple Butter Meatballs,Main Dishes,Meatballs,9,5,9,9.82,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_018,48383,Chicken Bog,Main Dishes,Southern Main Dishes,9,6,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_019,59806,Easy Grilled Vegetables,Vegetarian,Vegetarian Bbq & Grilling,9,4,1,9.73,0,side_only,keep_for_parsing,useful side-dish pattern worth keeping for parsing diversity
pilot_recipe_020,26910,Hot Honey Grilled Carrots,Dinner,Side Dishes,9,6,1,9.73,0,side_only,keep_for_parsing,useful side-dish pattern worth keeping for parsing diversity
pilot_recipe_021,48644,Miso Salmon,Main Dishes,Japanese Main Dishes,9,4,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_022,48763,"Bo Luc Lac ""French-Vietnamese Shaking Beef""",Main Dishes,French Main Dishes,8,5,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_023,46868,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,10,5,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_024,26199,Cajun Shrimp and Sausage Sheet Pan Dinner,Dinner,Sheet Pan Dinners,10,5,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_025,48281,Classic Beef Stuffed Peppers,Main Dishes,Stuffed Bell Peppers,10,5,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_026,59834,Grilled Fruit and Vegetable Kabobs,Vegetarian,Vegetarian Bbq & Grilling,8,5,1,9.73,0,side_only,move_to_review,fruit-and-vegetable side profile is useful but less central
pilot_recipe_027,48695,Grilled Mahi Mahi in Thai Coconut Sauce,Main Dishes,Thai Main Dishes,8,5,1,9.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_028,26187,Sheet Pan Salmon and Veggies,Dinner,Sheet Pan Dinners,9,4,2,9.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_029,26856,Simple Slow Roast Chicken,Dinner,Baked And Roasted Chicken,9,4,2,9.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_030,60258,Make-Ahead Vegetarian Moroccan Stew,Vegetarian,Vegetarian Soups And Stews,8,5,2,9.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_031,26200,Sheet Pan Lemon Balsamic Chicken and Potatoes,Dinner,Sheet Pan Dinners,10,5,2,9.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_032,60321,Slow Cooker Candied Yams,Vegetarian,Vegetarian Slow Cooker Recipes,10,5,2,9.71,0,side_only,remove_from_pilot,"sweet holiday side, outside first savory parsing pilot"
pilot_recipe_033,59935,Vegetarian Pho (Vietnamese Noodle Soup),Vegetarian,Vegetarian Protein,8,5,2,9.71,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_034,26584,Honey Mustard Spaghetti,Dinner,Pasta Main Dishes,9,4,3,9.69,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_035,26112,Sriracha Honey Chicken,Dinner,Quick And Easy Dinners For One,9,4,3,9.69,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_036,60600,Ham and Hash Brown Quiche,Vegetarian,Vegetarian Quiche,10,5,3,9.69,0,standalone,move_to_review,category mismatch with vegetarian tag suggests quick review first
pilot_recipe_037,26555,Miso Ramen Stir Fry,Dinner,Pasta Main Dishes,10,5,3,9.69,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_038,26070,Lemon Panko-Crusted Salmon,Dinner,Quick And Easy Dinners For One,9,4,4,9.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_039,26779,President Ford's Braised Eye Round Steak,Dinner,Beef Steaks,9,4,4,9.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_040,26661,Broiled Pork Chops,Dinner,Pork Chops,10,5,4,9.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_041,60593,Goat Cheese and Leek Quiche,Vegetarian,Vegetarian Quiche,10,5,4,9.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_042,26455,Sweet Chili Chicken with Creamy Lime Sauce,Dinner,Main Dishes,8,5,4,9.67,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_043,59784,Best Fried Green Tomatoes,Vegetarian,Vegetarian,9,6,5,9.65,0,side_only,move_to_review,"appetizer/side recipe, not a strong main-meal example"
pilot_recipe_044,59898,Make Ahead French Toast,Vegetarian,Vegetarian Breakfast And Brunch,9,4,5,9.65,0,standalone,move_to_review,sweet breakfast format is less aligned with savory pilot core
pilot_recipe_045,26471,Million Dollar Chicken Breasts,Dinner,Main Dishes,9,6,5,9.65,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_046,60152,Country Fried Squash,Vegetarian,Vegetarian Side Dishes,9,4,12,9.51,0,side_only,move_to_review,fried vegetable side/appetizer is lower-priority for first parsing pass
pilot_recipe_047,60026,Mujaddara Arabic Lentil Rice,Vegetarian,Vegetarian Whole Grain,9,3,1,9.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_048,60042,Veggie Quinoa,Vegetarian,Vegetarian Whole Grain,9,3,1,9.48,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_049,59816,California Grilled Veggie Sandwich,Vegetarian,Vegetarian Bbq & Grilling,10,4,1,9.48,0,standalone,move_to_review,sandwich format may add bread-heavy mapping noise
pilot_recipe_050,59880,Home-Fried Potatoes,Vegetarian,Vegetarian Breakfast And Brunch,8,4,1,9.48,0,side_only,keep_for_parsing,useful side-dish pattern worth keeping for parsing diversity
pilot_recipe_051,59849,Marinated Barbequed Vegetables,Vegetarian,Vegetarian Bbq & Grilling,8,4,1,9.48,0,side_only,keep_for_parsing,useful side-dish pattern worth keeping for parsing diversity
pilot_recipe_052,60109,Sweet Potato Tempura,Vegetarian,Vegetarian Appetizers,8,4,1,9.48,0,side_only,move_to_review,tempura/appetizer profile is lower-priority for first parsing pass
pilot_recipe_053,60039,Energy Balls without Peanut Butter,Vegetarian,Vegetarian Whole Grain,10,4,2,9.46,0,side_only,remove_from_pilot,"snack-style energy bite, outside meal-planning pilot"
pilot_recipe_054,60407,Green Tomato Relish,Vegetarian,Vegan Recipes,10,6,2,9.46,0,sauce_or_dressing,remove_from_pilot,"condiment-style relish, better outside the first parsing batch"
pilot_recipe_055,58681,Herb-Crusted Pork Sirloin Roast,Pork,Pork Loin,9,5,1,7.98,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_056,59530,Orange-Pineapple Pork Stir-Fry,Pork,Pork Stir-Fry,9,5,1,7.98,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_057,35876,Air Fryer Blackened Chicken Breasts,Healthy Recipes,Keto Diet,9,5,2,7.96,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_058,59169,Asian-Style Meatloaf,Pork,Pork Meatloaf,9,5,2,7.96,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_059,35888,Garlic Butter Smoked Shrimp,Healthy Recipes,Keto Diet,9,5,2,7.96,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_060,50678,Sweet Tamales with Pineapple and Coconut,Mexican,Authentic Mexican Recipes,9,5,2,7.96,0,standalone,remove_from_pilot,sweet tamale / dessert-leaning recipe outside first savory pilot
pilot_recipe_061,51213,Chicken Fajita Melts,Mexican,Fajitas,9,5,3,7.94,0,standalone,move_to_review,melt/sandwich style deserves review before first parsing batch
pilot_recipe_062,4093,Corned Beef and Cabbage,Beef Recipes,Beef Brisket,9,5,3,7.94,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_063,50640,Slow Cooker Carnitas,Mexican,Authentic Mexican Recipes,9,5,3,7.94,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_064,51228,Easy Grilled Shrimp Fajitas,Mexican,Fajitas,9,5,4,7.92,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_065,34433,Fresh Homemade Salsa,Healthy Recipes,Low-Fat Recipes,9,5,12,7.76,0,sauce_or_dressing,move_to_review,salsa component is useful but better handled after meal recipes
pilot_recipe_066,51397,Ahi Tuna Tacos with Pineapple Salsa,Mexican,Mexican Fish Tacos,9,4,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
pilot_recipe_067,4026,Italian Style Short Ribs,Beef Recipes,Beef Ribs,9,4,1,7.73,0,standalone,keep_for_parsing,clear meal-like recipe shape for pilot parsing
