name,canonical_name_guess,main_group,sub_group,sub_sub_group,entity_level_guess,keep_for_food_db,review_flag,drop_reason
"Not instant coffee, without sugar, ready-to-drink","not instant coffee, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Decaffeinated not instant coffee, without sugar, ready-to-drink","decaffeinated not instant coffee, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Espresso coffee, not instant coffee, without sugar, ready-to-drink","espresso coffee, not instant coffee, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Decaffeinated instant coffee, without sugar, ready-to-drink","decaffeinated instant coffee, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Instant coffee, without sugar, ready-to-drink","instant coffee, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Instant cocoa or chocolate beverage, with sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)","instant cocoa or chocolate beverage, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Instant cocoa or chocolate beverage, with sugar, fortified with vitamins and chemical elements, ready-to-drink (reconstituted with standard semi-skimm","instant cocoa or chocolate beverage, fortified with vitamins and chemical elements, ready-to-drink reconstituted with standard semi-skimm",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Coffee with milk or white coffee or cappuccino, instant coffee or not, without sugar, ready-to-drink","coffee with milk or white coffee or cappuccino, instant coffee or not, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Mix of chicory and coffee, instant, without sugar, ready-to-drink (reconstituted with standard semi-skimmed milk)","mix of chicory and coffee, instant, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
"Instant chicory, without sugar and artificial sweeteners, ready-to-drink (reconstituted with standard semi-skimmed milk)","instant chicory, ready-to-drink",beverages,non-alcoholic beverages,"coffee, tea, cocoa beverages, etc. ready to drink",recipe_like,False,False,name_keyword:ready-to-drink
