fallback_id,grocery_category,match_keywords,fallback_label,price_method,reference_price,price_per_kg,price_per_liter,package_size_g,package_size_ml,unit_count,currency,unit_basis,source_store,source_url,source_checked_at,confidence,decision_status,notes
poultry_per_kg,meat_fish,chicken|turkey|poultry,Poultry category fallback,price_per_kg,,28,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for poultry ingredients without exact catalog price.
beef_per_kg,meat_fish,beef|steak|sirloin|round steak,Beef category fallback,price_per_kg,,55,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for beef ingredients without exact catalog price.
pork_per_kg,meat_fish,pork|ham hock|sausage|bacon,Pork category fallback,price_per_kg,,34,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for pork ingredients without exact catalog price.
fish_per_kg,meat_fish,fish|salmon|tuna|shrimp|cod|seafood|scallop|crab,Fish and seafood category fallback,price_per_kg,,48,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for fish and seafood ingredients without exact catalog price.
meat_fish_per_kg,meat_fish,,Meat and fish general fallback,price_per_kg,,40,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,General fallback for meat/fish rows.
dairy_per_kg_or_l,dairy_eggs,milk|yogurt|cheese|dairy|cream,Dairy category fallback,price_per_kg,,22,,,,,RON,RON per kg or liter,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for dairy ingredients; grams are treated as kg/liter proxy.
egg_parts_per_kg,dairy_eggs,egg whites|egg yolks,Egg parts fallback,price_per_kg,,18,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for egg whites/yolks where piece count is not available.
eggs_per_piece,dairy_eggs,egg|eggs,Egg fallback,price_per_piece,1.2,,,,,,RON,RON per egg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for eggs when exact catalog does not match.
pasta_per_kg,carbs_grains,pasta|spaghetti|noodle,Pasta category fallback,price_per_kg,,12,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for pasta/noodle ingredients.
rice_per_kg,carbs_grains,rice,Rice category fallback,price_per_kg,,10,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for rice ingredients.
grains_per_kg,carbs_grains,oat|oats|flour|bread|potato|grain|bulgur|couscous|quinoa,Grains and starch category fallback,price_per_kg,,11,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for grain/starch ingredients.
vegetables_per_kg,vegetables,,Vegetable category fallback,price_per_kg,,12,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for vegetables without exact catalog price.
fruits_per_kg,fruits,,Fruit category fallback,price_per_kg,,12,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for fruits without exact catalog price.
canned_goods_per_can,sauces_canned,canned|corn|tomato puree|tuna|beans,Canned goods category fallback,price_per_package,8,,,400,,,RON,RON per 400g can,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for canned goods.
sauces_per_unit,sauces_canned,sauce|mustard|vinegar|broth|stock|salsa|ketchup|mayonnaise,Sauces category fallback,price_per_package,9,,,250,,,RON,RON per 250g unit,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for sauces and condiments.
oil_per_l,oils_fats,oil|olive oil|vegetable oil,Oil category fallback,price_per_kg,,24,,,,,RON,RON per liter/kg proxy,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for oils; grams are treated as liter/kg proxy.
oils_fats_per_kg,oils_fats,butter|fat|margarine,Oils and fats category fallback,price_per_kg,,30,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for fats without exact catalog price.
sweeteners_per_kg,sweeteners,sugar|honey|syrup|molasses,Sweeteners category fallback,price_per_kg,,14,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for sweeteners.
pantry_spices_per_unit,seasonings_spices,,Pantry spice fallback,price_per_package,4,,,50,,,RON,RON per small pantry unit,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for spices/herbs if included in shopping output.
pantry_basics_per_unit,pantry_basics,,Pantry basics fallback,price_per_package,4,,,50,,,RON,RON per small pantry unit,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for low-quantity pantry basics if included in shopping output.
legumes_per_kg,legumes_beans,beans|lentil|lentils|chickpea|chickpeas,Legumes category fallback,price_per_kg,,14,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Static demo estimate for legumes.
other_review_per_kg,other_review,,Other grocery fallback,price_per_kg,,25,,,,,RON,RON per kg,Controlled demo fallback,,2026-06-07,low_category_fallback,safe_to_use_demo,Last-resort category fallback before emergency fallback.
