recipe_source_id,recipe_title_raw,category_raw,subcategory_raw,ingredient_index,ingredient_raw,section_name_raw,is_section_header,quantity_raw,quantity_value_low,quantity_value_high,unit_raw,unit_normalized,ingredient_text_clean,food_name_candidate,preparation_note,optional_flag,garnish_flag,alternative_flag,packaging_flag,parse_status,parse_notes,issue_category_primary,issue_categories_all,issue_judgment
pilot_recipe_final_007,Authentic Chicken Adobo,Main Dishes,Filipino Main Dishes,4,10 bay leaves,,0,10,10.0,10.0,,,bay leaves,bay leaves,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_014,Breaded Center Cut Pork Chops,Main Dishes,Steaks And Chops,2,6 eggs,,0,6,6.0,6.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_017,Cajun Shrimp and Sausage Sheet Pan Dinner,Dinner,Sheet Pan Dinners,5,1 pepper red bell pepper,,0,1,1.0,1.0,,,pepper red bell pepper,pepper red bell pepper,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_021,Chicken with Lemon-Caper Sauce,Dinner,Cooking For Two,9,2 lemon wedges,,0,2,2.0,2.0,,,lemon wedges,lemon wedges,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_024,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,2,3 eggs,,0,3,3.0,3.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_032,Fried Beef Ribs,Beef Recipes,Beef Ribs,1,3 quarts peanut oil for frying,,0,3,3.0,3.0,,,quarts peanut oil for frying,quarts peanut oil for frying,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_033,Garlic Butter Smoked Shrimp,Healthy Recipes,Keto Diet,8,3 thin strips lemon peel,,0,3,3.0,3.0,,,thin strips lemon peel,thin strips lemon peel,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_034,Garlic Ginger Chicken Meatball Bowls,Main Dishes,Meatballs,1,1 ground chicken,,0,1,1.0,1.0,,,ground chicken,ground chicken,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_036,Goat Cheese and Leek Quiche,Vegetarian,Vegetarian Quiche,3,3 eggs,,0,3,3.0,3.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
pilot_recipe_final_043,Ham and Cheese Breakfast Casserole,Pork,Pork Casserole,5,6 eggs,,0,6,6.0,6.0,,,eggs,eggs,,0,0,0,0,parsed_partial,count_without_measure_unit,count_without_standard_unit,count_without_standard_unit,safe_for_mapping_now
