recipe_id_candidate,source_index,display_name,ingredient_position,ingredient_raw_text,ingredient_name_parsed,ingredient_name_normalized,quantity_value,quantity_unit,quantity_grams_estimated,parse_status,fooddb_version_used,mapped_food_id,mapped_food_canonical_name,mapping_status,mapping_confidence,mapping_method,mapping_notes
recipes_v1_1_candidate_001,59497,Pork and Pepper Stir Fry,2,¼ cup rice wine vinegar,rice wine vinegar,rice wine vinegar,0.25,cup,46.25,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,4,1 ½ pounds ground beef,ground beef,beef,1.5,pound,680.39,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,5,1 teaspoon garlic powder,garlic powder,garlic powder,1.0,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_002,42042,Alysia's Basic Meat Lasagna,6,1 (28 ounce) jar sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,1.0,jar,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_003,45080,Salmon Couscous Salad,2,1/2 cup buttermilk,buttermilk,buttermilk,0.5,cup,122.5,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_003,45080,Salmon Couscous Salad,3,1/4 cup pesto,pesto,pesto,0.25,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_003,45080,Salmon Couscous Salad,4,"1 lemon, juiced",lemon,lemon,1.0,count,58.0,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,1,1 (16 ounce) package lasagna noodles,lasagna noodles,lasagna noodles,1.0,package,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,4,"1 pound baby portobello mushrooms, sliced",baby portobello mushrooms,baby portobello mushrooms,1.0,pound,453.59,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,5,2 (16 ounce) jars Alfredo-style pasta sauce,Alfredo-style pasta sauce,alfredo style pasta sauce,2.0,jar,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,7,1 pound bay scallops,bay scallops,bay scallops,1.0,pound,453.59,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,8,"1 pound imitation crabmeat, chopped",imitation crabmeat,imitation crabmeat,1.0,pound,453.59,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_004,48102,Seafood Lasagna II,12,6 cups shredded Italian cheese blend,shredded Italian cheese blend,italian cheese blend,6.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,1,2 pounds salted cod fish,salted cod fish,salted cod fish,2.0,pound,907.18,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,2,"5 large potatoes, peeled and sliced",potatoes,potatoes,5.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,3,"3 large onions, sliced",onions,onions,3.0,count,450.0,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_005,12639,Portuguese Cod Fish Casserole,7,1 ½ teaspoons crushed red pepper flakes,crushed red pepper flakes,red pepper flakes,1.5,teaspoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_006,48491,Filipino Pork Adobo,1,1 cup distilled white vinegar,distilled white vinegar,distilled white vinegar,1.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_006,48491,Filipino Pork Adobo,3,½ cup ketchup,ketchup,ketchup,0.5,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_006,48491,Filipino Pork Adobo,7,"2 ½ pounds lean pork, cut into 1 inch cubes",lean pork,pork,2.5,pound,1133.98,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,1,"28 ounces fresh, ground spicy pork sausage",ground spicy pork sausage,spicy pork sausage,28.0,ounce,793.79,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,2,1 cup uncooked long-grain rice,uncooked long-grain rice,uncooked long grain rice,1.0,cup,185.0,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,5,"1 green bell pepper, chopped",green bell pepper,green bell pepper,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,6,"1 red bell pepper, chopped",red bell pepper,red bell pepper,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,7,"1 (28 ounce) can whole peeled tomatoes, crushed",whole peeled tomatoes,whole tomatoes,1.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_007,12470,Spicy Sausage and Rice Casserole,8,1 cup chicken broth,chicken broth,chicken broth,1.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,1,1 ½ pounds ground turkey,ground turkey,turkey,1.5,pound,680.39,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,4,"2 (4 ounce) cans canned green chile peppers, chopped",canned green chile peppers,canned green chile peppers,2.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,5,1 tablespoon ground cumin,ground cumin,cumin,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,10,5 cups chicken broth,chicken broth,chicken broth,5.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,11,3 (15 ounce) cans cannellini beans,cannellini beans,cannellini beans,3.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_008,46240,White Chili with Ground Turkey,12,2 cups shredded Monterey Jack cheese,shredded Monterey Jack cheese,monterey jack cheese,2.0,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,1,1 medium head cabbage,head cabbage,head cabbage,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,2,water to cover,water to cover,water to cover,,,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,out_of_scope_non_food_or_non_nutrition_line
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,3,1 pound ground beef,ground beef,beef,1.0,pound,453.59,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,5,garlic powder to taste,garlic powder,garlic powder,,,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,7,1 (12 fluid ounce) can tomato juice,tomato juice,tomato juice,1.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_009,31648,Polish Stuffed Cabbage,10,water to cover,water to cover,water to cover,,,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,out_of_scope_non_food_or_non_nutrition_line
recipes_v1_1_candidate_010,14446,Angela's Asian-Inspired Chicken Noodle Soup,2,1 (3 ounce) package chicken-flavored ramen noodles,chicken-flavored ramen noodles,chicken flavored ramen noodles,1.0,package,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_010,14446,Angela's Asian-Inspired Chicken Noodle Soup,4,"2 leaves bok choy, sliced",bok choy,bok choy,2.0,leaf,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_011,52979,Grilled Mediterranean Vegetable Sandwich,2,2 red bell peppers,red bell peppers,red bell peppers,2.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_011,52979,Grilled Mediterranean Vegetable Sandwich,4,"2 portobello mushrooms, sliced",portobello mushrooms,portobello mushrooms,2.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_011,52979,Grilled Mediterranean Vegetable Sandwich,7,1 (1 pound) loaf focaccia bread,loaf focaccia bread,loaf focaccia bread,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,6,"1 (15 ounce) can garbanzo beans, drained and rinsed",garbanzo beans,garbanzo beans,1.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,7,"1 large zucchini, halved and sliced",zucchini,zucchini,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,8,½ cup sliced mushrooms,sliced mushrooms,mushrooms,0.5,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_012,52970,Garbanzo Stir-Fry,9,1 tablespoon chopped fresh cilantro,chopped fresh cilantro,cilantro,1.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,1,1 pound lean ground beef,lean ground beef,beef,1.0,pound,453.59,parsed_clean,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,2,"1 medium green bell pepper, diced",green bell pepper,green bell pepper,1.0,count,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,4,4 tablespoons Worcestershire sauce,Worcestershire sauce,worcestershire sauce,4.0,tablespoon,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,5,"1 (28 ounce) can diced tomatoes, undrained",undrained,undrained,1.0,can,,review_needed,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
recipes_v1_1_candidate_013,12444,Ground Beef Casserole with Rice,12,½ cup shredded Cheddar cheese,shredded Cheddar cheese,cheddar cheese,0.5,cup,,parsed_partial,fooddb_v1_1_draft,,,unmapped,low,no_match,no_exact_normalized_or_safe_alias_match
