recipe_id_candidate,display_name,ingredient_position,ingredient_raw_text,ingredient_name_normalized,quantity_value,quantity_unit,defer_reason,suggested_future_rule
recipes_v1_1_candidate_001,Pork and Pepper Stir Fry,5,salt and ground black pepper to taste,salt and black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_002,Alysia's Basic Meat Lasagna,5,1 teaspoon garlic powder,garlic powder,1.0,teaspoon,powder_density_deferred_not_fresh_rule,add_powder_specific_density_rule_after_review
recipes_v1_1_candidate_002,Alysia's Basic Meat Lasagna,6,1 (28 ounce) jar sausage flavored spaghetti sauce,sausage flavored spaghetti sauce,1.0,jar,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_002,Alysia's Basic Meat Lasagna,7,1 (8 ounce) can tomato sauce,tomato sauce,1.0,can,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_003,Salmon Couscous Salad,1,1/2 cup mayonnaise,mayonnaise,0.5,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_003,Salmon Couscous Salad,3,1/4 cup pesto,pesto,0.25,cup,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_003,Salmon Couscous Salad,6,ground black pepper to taste,black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_004,Seafood Lasagna II,1,1 (16 ounce) package lasagna noodles,lasagna noodles,1.0,package,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_004,Seafood Lasagna II,5,2 (16 ounce) jars Alfredo-style pasta sauce,alfredo style pasta sauce,2.0,jar,package_or_container_unit_deferred,review_package_or_can_weight_from_label_or_parser
recipes_v1_1_candidate_004,Seafood Lasagna II,11,black pepper,black pepper,,,missing_or_invalid_quantity_value,
recipes_v1_1_candidate_004,Seafood Lasagna II,12,6 cups shredded Italian cheese blend,italian cheese blend,6.0,cup,cheese_cup_deferred_without_specific_safe_rule,add_specific_cheese_cup_rules_after_review
recipes_v1_1_candidate_005,Portuguese Cod Fish Casserole,2,"5 large potatoes, peeled and sliced",potatoes,5.0,count,potato_count_deferred_size_ambiguous,add_potato_count_rule_only_with_size_signal
recipes_v1_1_candidate_005,Portuguese Cod Fish Casserole,6,1 tablespoon chopped fresh parsley,parsley,1.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_005,Portuguese Cod Fish Casserole,7,1 ½ teaspoons crushed red pepper flakes,red pepper flakes,1.5,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_005,Portuguese Cod Fish Casserole,8,1 teaspoon paprika,paprika,1.0,teaspoon,no_explicit_safe_rule_for_ingredient_unit,
recipes_v1_1_candidate_005,Portuguese Cod Fish Casserole,9,3 tablespoons tomato sauce,tomato sauce,3.0,tablespoon,no_explicit_safe_rule_for_ingredient_unit,
