pilot_recipe_id,source_row_number,recipe_signature,recipe_title,category,subcategory,description,ingredients_json,directions_json,num_ingredients,num_steps,duplicate_group_size,selection_bucket,selection_score,noise_score,packaging_count,alternative_count,optional_count,brand_hint_count
pilot_recipe_001,48504,a63c1a9b619eafed1a048d03112ab539a9b461d6,Authentic Chicken Adobo,Main Dishes,Filipino Main Dishes,"Adobo is a simple and hearty Filipino dish. In this version, chicken is marinated in vinegar and soy sauce, then slowly cooked with garlic and spices. Serve over steamed white rice.","[""2 cups coconut vinegar"", ""\u00bd cup soy sauce"", ""2 heads garlic, peeled and coarsely chopped, divided"", ""10 bay leaves"", ""1 tablespoon garlic powder"", ""1 \u00bd teaspoons ground black pepper"", ""3 teaspoons annatto powder, divided"", ""5 \u00bd pounds cut-up chicken parts"", ""3 tablespoons vegetable oil, divided""]","[""Combine vinegar, soy sauce, 1/2 of the chopped garlic, bay leaves, garlic powder, pepper, and 1 \u00bd teaspoons annatto powder in a large bowl. Add chicken, stir to coat, cover, and refrigerate for at least 4 hours."", ""Remove chicken from marinade and pat dry. Reserve marinade."", ""Heat 2 tablespoons vegetable oil in a large skillet over medium-high heat. Cook chicken until brown, about 4 minutes per side. Remove skillet from heat and set aside."", ""Heat remaining 1 tablespoon vegetable oil in a small skillet over medium heat. Cook and stir remaining 1/2 of the chopped garlic until brown, about 3 minutes. Add remaining 1 \u00bd teaspoons annatto powder, lower heat and simmer, about 3 minutes."", ""Pour annatto mixture over chicken and add reserved marinade. Bring to a simmer, cover, and cook until chicken is tender, about 45 minutes. Uncover and cook until sauce has reduced slightly, about 10 minutes more.""]",9,5,2,main_dishes,9.96,0,0,0,0,0
pilot_recipe_002,47659,dcddce095263c8f5b888b0f0c80f5e86b70210a9,Grilled Chicken Marinade,Main Dishes,Summer Main Dishes,This chicken marinade is the best marinade I know for grilled chicken! It is so flavorful and easy to prep with three main ingredients and simple seasonings. Perfect for any summer occasion!,"[""\u00bc cup red wine vinegar"", ""\u00bc cup reduced-sodium soy sauce"", ""\u00bc cup olive oil"", ""1 \u00bd teaspoons dried parsley flakes"", ""\u00bd teaspoon dried basil"", ""\u00bd teaspoon dried oregano"", ""\u00bc teaspoon garlic powder"", ""\u00bc teaspoon ground black pepper"", ""5 skinless, boneless chicken breasts, thinly sliced""]","[""Gather all ingredients."", ""Whisk vinegar, soy sauce, olive oil, parsley, basil, oregano, garlic powder, and black pepper together in a bowl."", ""Pour into a resealable plastic bag. Add chicken, coat with the marinade, squeeze out excess air, and seal the bag. Marinate in the refrigerator, 2 to 4 hours."", ""Preheat grill for medium-low heat and lightly oil the grate. Drain and discard marinade."", ""Grill chicken on the preheated grill until no longer pink in the center, 4 to 5 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).""]",9,5,2,main_dishes,9.96,0,0,0,0,0
pilot_recipe_003,45755,17a8e527894ae0fcffbeaf9b4d117aa8eca64c37,Hot Honey Shrimp,Main Dishes,Seafood Main Dishes,"This hot honey shrimp has a dazzling flavor profile—sticky, tangy, and just a little sweet heat. Serve as an appetizer, on skewers if you like, or feel free to add the shrimp to some stir fry vegetables for dinner.","[""1/2 cup reduced-sodium soy sauce"", ""2 tablespoons brown sugar"", ""2 tablespoons rice vinegar"", ""1 tablespoon honey"", ""1/4 teaspoon ground ginger"", ""1 teaspoon minced garlic"", ""1 teaspoon sesame oil"", ""1/4 cup water"", ""1 tablespoon cornstarch""]","[""Stir soy sauce, brown sugar, rice vinegar, honey, ginger, garlic, sesame oil, water, and cornstarch together in a small bowl. Set aside."", ""Pat shrimp dry with a paper towel. Season with salt and pepper."", ""Heat a skillet over medium-high heat. Add vegetable oil; once oil is shimmering, cook shrimp until tails begin to curl, about 3 minutes."", ""Pour in sauce; bring to a simmer and cook until shrimp is bright pink and opaque and sauce is thickened, about 2 minutes."", ""Sprinkle with black sesame seeds and serve.""]",9,5,2,main_dishes,9.96,0,0,0,0,0
pilot_recipe_004,26889,d6eed0425643667f05612aa9e986a601e17ef815,Meet Lemon Pesto: The 5-Ingredient No-Cook Sauce Ready Before Your Pasta's Done Boiling,Dinner,Side Dishes,"This lemon pesto sauce, a pesto that hails from the Amalfi Coast of Italy, is bright and rich, made with zesty, slightly bitter lemon zest rather than basil leaves. It has so many uses: try it as a spread, a pasta sauce, over chicken, or as the base of a dip.","[""4 large lemons, scrubbed"", ""1 cup grated Parmesan cheese"", ""1/3 cup slivered almonds"", ""4 tablespoons tap water"", ""1 garlic clove"", ""3/4 teaspoon kosher salt"", ""1/2 teaspoon white sugar"", ""1/4 teaspoon black pepper"", ""6 tablespoons extra-virgin olive oil""]","[""Gather all ingredients."", ""Using a Y-peeler, remove yellow zest from lemons in large strips, avoiding the bitter white pith as much as possible. This should yield about 1/2 cup zest. Juice lemons to yield 1/4 cup juice. Discard juiced, skinned lemons; reserve any unjuiced lemons for another use."", ""Place lemon zest, lemon juice, Parmesan, almonds, water, garlic, salt, sugar, pepper, and 3 tablespoons oil in the jar of a blender; process until lemon zest is finely chopped and mixture is roughly combined, about 15 seconds, stopping to scrape down sides as needed."", ""With blender running, slowly pour remaining 3 tablespoons oil through food chute, processing until mostly smooth and emulsified, about 1 minute, stopping to scrape down sides as needed."", ""Use immediately or store in an airtight container for up to 1 week.""]",9,5,2,dinner,9.96,0,0,0,0,0
pilot_recipe_005,26183,3fe538bbbcc1a4d2c3f53f0e2e6b2fba398be346,Sheet Pan Halibut with Orange and Fennel,Dinner,Sheet Pan Dinners,This sheet pan halibut with orange and fennel is as simple as it sounds. Tender halibut filets are nestled into roasted fennel and roasted with orange slices on top. It is yet another brilliant use for a sheet pan.,"[""1 pound fennel,"", ""3 teaspoons olive oil, divided"", ""1 tablespoon garlic"", ""2 teaspoons talian seasoning, divided"", ""1/4 teaspoon salt, divided"", ""1/4 teaspoon black pepper, divided"", ""6 4 ounce halibut filets"", ""1 orange, thinly sliced"", ""fresh parsley, for garnish""]","[""Gather all ingredients. Preheat oven to 425 degrees F (220 degrees C). Line a 10x15-inch baking pan with foil."", ""Spread fennel in an even layer on the prepared pan. Drizzle with 2 teaspoons oil. Sprinkle with garlic, 1 teaspoon Italian seasoning, and 1/8 teaspoon each salt and pepper."", ""Roast fennel until starting to soften, about 10 minutes."", ""Add halibut to pan and drizzle with remaining 1 teaspoon oil. Season with remaining 1 teaspoon Italian seasoning and 1/8 teaspoon each salt and pepper. Top with orange slices."", ""Roast until fennel is tender and fish flakes easily with a fork, 8 to 12 minutes. Garnish with parsley.""]",9,5,2,dinner,9.96,0,0,0,0,0
pilot_recipe_006,46978,c293a9704503e87039035d590f2856d533c9e28f,Asian Pork Tenderloin,Main Dishes,Roasts,This Asian pork recipe is simple and flavorful. Marinate the pork tenderloin for at least 8 hours (overnight is best) and flip it after 4 hours. It's great with rice and veggies like bok choy. Enjoy!,"[""1 (2 pound) fat-trimmed pork tenderloin"", ""\u2153 cup lite soy sauce"", ""\u00bc cup sesame oil"", ""2 tablespoons Worcestershire sauce"", ""3 green onions, chopped"", ""4 cloves garlic, crushed"", ""2 tablespoons packed light brown sugar"", ""1 \u00bd tablespoons Asian chile paste"", ""1 \u00bd teaspoons pepper""]","[""Place pork tenderloin in a shallow dish."", ""Pour soy sauce, sesame oil, and Worcestershire sauce into a medium bowl. Whisk in green onions, garlic, brown sugar, chile paste, and pepper until combined. Pour sauce over tenderloin, turning meat a few times to coat. Cover the dish and marinate in the refrigerator for 8 hours to overnight."", ""Preheat the oven to 450 degrees F (230 degrees C)."", ""Transfer pork tenderloin with marinade into an aluminum foil-lined baking pan."", ""Roast in the preheated oven until an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 25 to 30 minutes. Allow to stand 5 to 10 minutes before carving.""]",9,5,3,main_dishes,9.94,0,0,0,0,0
pilot_recipe_007,26109,cca6a5bb4bb0dc213522ff092b7af06233c48314,Mama's Best Broiled Tomato Sandwich,Dinner,Quick And Easy Dinners For One,"A broiled sandwich, made of fresh seasoned tomatoes, with an Italian taste. A perfect match for soup.","[""2 tablespoons olive oil"", ""2 tablespoons balsamic vinegar"", ""4 ripe tomatoes, sliced"", ""3 tablespoons mayonnaise"", ""\u00bd teaspoon dried parsley"", ""\u00bc teaspoon dried oregano"", ""\u00bc teaspoon black pepper"", ""3 tablespoons grated Parmesan cheese, divided"", ""4 slices bread, lightly toasted""]","[""Preheat the oven broiler to high."", ""Whisk olive oil and vinegar together in a shallow bowl until well combined. Add tomatoes and let marinate, stirring occasionally."", ""Meanwhile, combine mayonnaise, parsley, oregano, and black pepper in a small bowl. Stir in 4 teaspoons Parmesan cheese until well combined."", ""Place toasted bread on a baking sheet. Spread mayonnaise mixture over each slice of toasted bread. Top with marinated tomatoes and sprinkle with remaining Parmesan cheese."", ""Cook under the preheated broiler until cheese turns golden brown, about 5 minutes. Serve hot, open-faced or closed.""]",9,5,3,dinner,9.94,0,0,0,0,0
pilot_recipe_008,47204,567b898e242e7fe85fb9f6c162302eb95abd4c86,Beef Tenderloin with Dijon Cream Sauce,Main Dishes,Beef Main Dishes,No less than 15 friends texted me last year for my beef tenderloin recipe; it's an all-time favorite. Make and chill the Dijon Cream Sauce up to two weeks in advance.,"[""1 (2-pound) beef tenderloin, trimmed, with silver skin removed"", ""2 tablespoons butter, softened"", ""3 1/2 teaspoons orcestershire sauce"", ""1 teaspoon salt"", ""1 teaspoon black pepper"", ""3/4 cup mayonnaise"", ""1/4 cup ijon mustard"", ""2 dashes hot sauce"", ""fresh parsley, for garnish""]","[""Preheat the oven to 500 degrees F (260 degrees C). Line a rimmed 10x15-inch baking sheet with foil."", ""Place beef tenderloin on the prepared baking sheet. Rub with butter, then drizzle with 1 1/2 teaspoons Worcestershire sauce and sprinkle with salt and pepper. Tuck tapered end of tenderloin underneath to ensure even cooking."", ""Roast tenderloin in the preheated oven until an instant-read thermometer inserted into thickest part registers 135 degrees F (57 degrees C) for medium-rare, 25 to 30 minutes."", ""Transfer tenderloin to a cutting board and tent loosely with foil; let rest for 10 minutes. (After resting, thermometer should register 145 degrees F (63 degrees C))"", ""For sauce, stir together mayonnaise, mustard, hot sauce, and remaining 2 teaspoons Worcestershire in a small bowl. Slice tenderloin. Serve with sauce and garnish with parsley.""]",9,5,4,main_dishes,9.92,0,0,0,0,0
pilot_recipe_009,26162,7cf161e98824c88dd94400731c3a9cd114c99d24,Chicken with Lemon-Caper Sauce,Dinner,Cooking For Two,A rich lemon sauce for chicken makes this dish perfect for a special meal.,"[""\u00bd cup all-purpose flour"", ""1 pinch salt"", ""2 (6 ounce) skinless, boneless chicken breast halves"", ""2 tablespoons olive oil"", ""\u00bc cup dry white wine"", ""\u00bc cup lemon juice"", ""\u00bc cup cold unsalted butter, cut into pieces"", ""2 tablespoons capers, drained"", ""2 lemon wedges""]","[""Mix together flour and salt in a medium dish or resealable plastic bag. Coat chicken in flour mixture; shake off excess."", ""Heat olive oil in a skillet over medium-high heat. Cook chicken in hot oil until golden brown and cooked through, 3 to 4 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Transfer chicken to a plate; cover and keep warm."", ""Pour white wine into the skillet; allow to boil while scraping the cooked bits from the bottom of the pan. Add lemon juice; boil until reduced by half, 2 to 3 minutes."", ""Sprinkle cubed butter into boiling sauce. Swirl and shake the pan vigorously until butter is completely incorporated and sauce thickens. (Butter must never come to rest, or sauce will separate and become oily.) Remove from heat and stir in capers."", ""Pour lemon-caper sauce over chicken; serve with lemon wedges.""]",9,5,4,dinner,9.92,0,0,0,0,0
pilot_recipe_010,45991,f2fb99203e638eee9e8ad3c5a7e61719d0c6883c,Crustless Cottage Cheese Mini Quiches,Main Dishes,Quiche,"This crustless cottage cheese quiche recipe is simple to make and vegetables can be interchanged with what you have. If you want a knock-off of the pricey soufflé sold at a local cafe chain, just add puff pastry to the bottom of a pie tin.","[""nonstick cooking spray"", ""3 eggs"", ""\u00bd cup cottage cheese"", ""\u00bc cup milk"", ""1 cup chopped cooked broccoli"", ""\u00bd cup shredded Colby-Monterey Jack cheese"", ""\u00bc cup chopped red bell pepper"", ""\u00bd teaspoon garlic salt"", ""\u215b teaspoon freshly ground black pepper""]","[""Preheat the oven to 350 degrees F (175 degrees C). Grease a jumbo 6-cup muffin tin with cooking spray."", ""Combine eggs, cottage cheese, and milk in a blender or Vitamix. Blend on low speed to combine, 1 to 5 seconds. Pour mixture into a medium mixing bowl."", ""Add broccoli, Colby-Jack cheese, and bell pepper to cottage cheese mixture; add garlic salt, and pepper. Stir to combine."", ""Divide mixture evenly between the prepared muffin cups."", ""Bake in the preheated oven until a knife inserted into the center of a quiche comes out clean, about 30 minutes.""]",9,5,5,main_dishes,9.9,0,0,0,0,0
