recipe_id_candidate,display_name,recipe_kind_guess,primary_protein,nutrition_basis,servings_basis,uses_pilot_servings_fallback,servings_estimation_method,servings_estimation_reasons,total_weight_grams_estimated,mapped_weight_grams,known_weight_grams_sum,mapped_weight_ratio,energy_kcal_total,protein_g_total,carbs_g_total,fat_g_total,energy_kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,ingredient_count,accepted_auto_count,accepted_auto_with_grams_count,review_needed_count,review_needed_with_grams_count,unmapped_count,unmapped_with_grams_count,cache_status,quality_flags,cache_version,is_complete_or_near_complete_meal,blocking_with_grams_count
recipes_v1_1_candidate_124,Fish Tacos al Pastor,near_complete_main,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,907.18,0,907.18,0,0,0,0,0,0,0,0,0,4,0,0,1,0,3,1,no_accepted_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_069,Vietnamese Salad Rolls,salad,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_salad_4_servings,226.8,0,226.8,0,0,0,0,0,0,0,0,0,8,0,0,4,1,4,0,no_accepted_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_187,Homemade Turkey Sausage Patties,protein_component,turkey,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_protein_component_4_servings,462.815,3.225,462.815,0.007,4.8076,0.2294,0.6814,0.1294,1.2019,0.0574,0.1703,0.0323,5,2,2,1,0,2,2,partial_from_mapped_ingredients,is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,False,2
recipes_v1_1_candidate_003,Salmon Couscous Salad,salad,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_salad_4_servings,183.5,3,183.5,0.0163,3.33,0.1593,0.558,0.009,0.8325,0.0398,0.1395,0.0022,6,1,1,2,0,3,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_194,Air Fryer Lemon-Thyme Baby Red Potatoes,carb_side,unknown,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_carb_side_4_servings,356.69,16.5,356.69,0.0463,121.5,0.0405,0,13.4865,30.375,0.0101,0,3.3716,5,2,2,1,0,2,1,partial_from_mapped_ingredients,is_low_mapped_weight_ratio,recipes_v1_1_draft_001,False,1
recipes_v1_1_candidate_074,Adas bil Hamod (Lebanese Lentil Lemon Soup),soup,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_soup_4_servings,476.09,22.5,476.09,0.0473,131.49,0.5184,1.674,13.5135,32.8725,0.1296,0.4185,3.3784,8,3,2,2,0,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
recipes_v1_1_candidate_139,Sheet Pan Lemon Butter Garlic Shrimp with Asparagus,near_complete_main,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,1215.58,81.6,1215.58,0.0671,577.098,1.0164,2.6154,62.3244,144.2745,0.2541,0.6539,15.5811,10,6,3,1,1,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_136,Chinese Shrimp and Tofu Soup,soup,fish,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_soup_4_servings,431.55,34.65,431.55,0.0803,161.305,0.4924,8.8742,13.5407,40.3263,0.1231,2.2186,3.3852,10,5,5,3,2,2,0,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_138,Air Fryer Lemon Garlic Parmesan Chicken,near_complete_main,chicken,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_near_complete_main_4_servings,770.39,63,770.39,0.0818,207.791,18.4679,3.548,12.5698,51.9477,4.617,0.887,3.1425,10,5,4,1,0,4,2,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,2
recipes_v1_1_candidate_065,Vegetarian Refried Beans,complete_main,vegetarian,v1_1_mapped_ingredients_draft,4,True,pilot_fallback_recipe_kind_weight,pilot_servings_fallback; default_complete_main_4_servings,497.39,43.8,497.39,0.0881,261.648,0.9731,3.1248,27.0234,65.412,0.2433,0.7812,6.7559,7,2,2,2,0,3,1,partial_from_mapped_ingredients,is_low_kcal_suspicious; is_low_protein_suspicious; is_low_mapped_weight_ratio,recipes_v1_1_draft_001,True,1
