ingredient_name_normalized,suggested_food_id,suggested_food_canonical_name,frequency,rows_with_grams,example_raw_texts,example_recipes,priority,safety
garlic,food_garlic_fresh,garlic_fresh,108,88,"2 tablespoons minced garlic | 4 cloves garlic, minced | 1 clove garlic | 1 clove garlic, minced | 2 cloves garlic, minced",Pork and Pepper Stir Fry | Alysia's Basic Meat Lasagna | Salmon Couscous Salad | Seafood Lasagna II | Portuguese Cod Fish Casserole,high,safe_auto
salt,food_salt_white_sea_igneous_or_rock_no_enrichment,salt_white_sea_igneous_or_rock_no_enrichment,97,75,"1 teaspoon salt | 1 teaspoon salt, divided | salt to taste | 1/2 teaspoon salt | 2 teaspoons salt",Spicy Sausage and Rice Casserole | Sheet Pan Tilapia and Potatoes | Stir Fried Pasta with Veggies | Turmeric Black Pepper Chicken with Broccoli | Kelsey's Favorite Stuffed Green Peppers,high,safe_auto
olive oil,food_olive_oil_extra_virgin,olive_oil_extra_virgin,91,91,"5 tablespoons olive oil | 1 tablespoon olive oil | 2 tablespoons olive oil | ¾ cup olive oil | 2 tablespoons olive oil, divided",Pork and Pepper Stir Fry | Alysia's Basic Meat Lasagna | Seafood Lasagna II | Portuguese Cod Fish Casserole | Grilled Mediterranean Vegetable Sandwich,high,safe_auto
onion,food_yellow_onion_raw,yellow_onion_raw,73,59,"1 small onion, diced | 1 slice onion, diced | 1 onion, chopped | 1 tablespoon minced onion | 1 onion, sliced into thin rings",Alysia's Basic Meat Lasagna | Spicy Sausage and Rice Casserole | White Chili with Ground Turkey | Ground Beef Casserole with Rice | Stir Fried Pasta with Veggies,high,needs_review
black pepper,food_black_pepper_powder,black_pepper_powder,71,0,"ground black pepper to taste | black pepper | 1 teaspoon fresh-ground black pepper | 1 teaspoon ground black pepper | 1/2 teaspoon black pepper,",Salmon Couscous Salad | Seafood Lasagna II | Filipino Pork Adobo | Spicy Sausage and Rice Casserole | Garbanzo Stir-Fry,high,safe_auto
soy sauce,food_soy_sauce_prepacked,soy_sauce_prepacked,36,29,"1 cup soy sauce | 4 tablespoons soy sauce, divided | 2 tablespoons soy sauce | 1 tablespoon soy sauce | 1 teaspoon soy sauce",Filipino Pork Adobo | Korean Fried Pork With Stir-Fried Celery | Stir Fried Pasta with Veggies | Beef and Broccoli Udon Noodles | Air Fryer Everything-Bagel Salmon Dinner,high,safe_auto
eggs,food_egg_raw,egg_raw,34,34,"3 eggs, beaten | 3 eggs | 2 eggs | 2 large eggs, beaten | 2 eggs, beaten",Thai Fried Rice | 10-Minute Mushroom Carbonara | BLT Pasta Carbonara | Zoodles alla Carbonara | Thanksgiving Gluten-Free Stuffing,high,safe_auto
oregano,food_oregano_dried,oregano_dried,26,0,1 teaspoon dried oregano | 1 tablespoon dried oregano | 1 tablespoon chopped fresh oregano | 2 teaspoons dried oregano (Optional) | 1/2 teaspoon dried oregano,Alysia's Basic Meat Lasagna | White Chili with Ground Turkey | Garbanzo Stir-Fry | Ground Beef Casserole with Rice | Shrimp Marinara,high,needs_review
basil,food_basil_dried,basil_dried,20,0,"1 tablespoon chopped fresh basil | 1 teaspoon dried basil | 1/4 cup chopped fresh basil, plus more for garnish | 2 teaspoons dried basil (Optional) | 2 tablespoons chopped fresh basil",Garbanzo Stir-Fry | Ground Beef Casserole with Rice | Shrimp Marinara | Easy Skillet Lasagna | Stuffed Eggplant,high,needs_review
egg,food_egg_raw,egg_raw,20,20,"1 egg | 1 large egg | 1 large egg, | 1 egg, beaten | 1 large egg, beaten",Seafood Lasagna II | Polish Stuffed Cabbage | Linda's Lasagna Recipe | Slow Cooker Tuscan Chicken Meatballs with Gnocchi | Harvest Patties,high,safe_auto
