alcohol_g_100g_ml,allowed_meals,carb_bucket,carb_conf,carb_evidence,carb_micro,carbohydrate_g_100g_ml,ciqual_code,energy_flag_ml,exclude,fat_g_100g_ml,fibres_g_100g_ml,is_baby_food,is_salty,is_sweet,kcal_calc_ml,kcal_sanitized,macro_tags,main_group,name,name_core,name_tags,protein_bucket,protein_conf,protein_evidence,protein_g_100g_ml,protein_micro,role_protein,role_side_carb,role_side_veg,salt_g_100g_ml,sub_group,sub_sub_group,sugars_g_100g_ml,tag_boiled,tag_breakfast_cereal,tag_breakfasty,tag_composite_dish_hint,tag_dairy_dessert_hint,tag_dessert_like,tag_drink,tag_fried,tag_fried_or_chips,tag_grilled,tag_healthy_fat_source,tag_heavy_sauce,tag_high_fibre_choice,tag_red_meat,tag_refined_carb,tag_roasted,tag_salad_like,tag_sauce_rich,tag_snack_like,tag_snackable,tag_starch_powder,tag_sugary_breakfast_cereal,tag_trans_risk,tag_ultra_processed_hint,tag_vegan_safe,tag_vegetarian_safe,uid,veg_bucket,veg_conf,veg_evidence,veg_micro,water_g_100g_ml,name_clean,canonical_name_guess,entity_level_guess,keep_for_food_db,review_flag,drop_reason
0.081,dinner;lunch,,,,,36.6,24999,0,0,12.9,1.54,0,0,1,281.6,281.6,carb_high;fat_high,,Desert (average),Desert,note:average,,,,4.63,,0,0,0,0.38,,,23.7,,0,0,,,0,,,0,,0,0,0,0,0,,,,0,,,0,0,,,,desert-average_24999,,,,,45.4,desert,desert,unclear,False,False,aggregate_average_item
0.0,dinner;lunch,,,,,7.74,25601,0,0,4.7,2.7,0,0,0,109.9,109.9,protein_moderate;carb_moderate,starters and dishes,"Prepared mixed tuna and vegetable salad, canned",Prepared mixed tuna and vegetable salad,canned;prepared,fish_fatty,0.9,macro:name_hints:fish_fatty,9.15,,1,0,1,1.11,mixed salads,,3.08,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,,,prepared-mixed-tuna-and-vegetable-salad-canned_25601,leafy_salad,0.9,macro:name_hints:leafy_salad,,76.5,prepared mixed tuna and vegetable salad,mixed tuna and vegetable salad,recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,6.4,25602,0,0,5.3,2.0,0,0,0,105.5,105.5,protein_moderate;carb_moderate;fat_moderate,starters and dishes,"Prepared mixed meat/fish canned, salad","Prepared mixed meat/fish canned, salad",canned;prepared,fish_white,0.0,,8.06,,1,0,1,0.95,mixed salads,,1.9,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,,,prepared-mixed-meat-fish-canned-salad_25602,leafy_salad,0.9,macro:name_hints:leafy_salad,,76.7,"prepared mixed meat / fish canned, salad","mixed meat / fish canned, salad",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,3.95,25605,0,0,3.55,2.35,0,0,0,56.1,56.1,protein_low;carb_low,starters and dishes,"Greek-style marinated mushrooms, prepacked",Greek-style marinated mushrooms,style:greek;prepacked,,,,2.08,,0,0,0,1.26,mixed salads,,2.38,,0,0,,,0,,,0,,0,0,0,0,0,,,,0,,,0,0,,,,greek-style-marinated-mushrooms-prepacked_25605,,,,,85.2,greek-style marinated mushrooms,greek-style marinated mushrooms,recipe_like,False,False,main_group:starters and dishes
0.0,dinner;lunch,potatoes,0.9,macro:name_hints:potatoes,,9.9,25606,0,0,8.2,1.3,0,0,0,124.1,124.1,protein_low;carb_moderate;fat_moderate,starters and dishes,"Prepared potatoes salad, home-made","Prepared potatoes salad, home-made",prepared,,,,2.68,,0,1,1,1.32,mixed salads,,,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,prepared-potatoes-salad-home-made_25606,leafy_salad,0.9,macro:name_hints:leafy_salad,,76.0,"prepared potatoes salad, home-made","potatoes salad, home-made",recipe_like,False,False,tag_salad_like
0.0,breakfast;dinner;lunch,,,,,23.7,25608,0,0,6.7,2.5,0,0,0,174.6,179.0,carb_high;fat_moderate,starters and dishes,"Tabbouleh, prepacked",Tabbouleh,prepacked,eggs,0.0,,4.88,,1,0,0,1.0,mixed salads,,4.9,,0,1,,,0,,,0,,0,0,0,0,0,,,,0,,,0,0,,,,tabbouleh-prepacked_25608,,,,,60.3,tabbouleh,tabbouleh,recipe_like,False,False,main_group:starters and dishes
0.0,dinner;lunch,potatoes,0.9,macro:name_hints:potatoes,,8.87,25609,0,0,8.3,0.3,0,0,0,128.2,130.0,carb_moderate;fat_moderate,starters and dishes,"Potato salad, piémontaise-style, prepacked","Potato salad, piémontaise-style",style:piemontaise;prepacked,,,,4.5,,0,1,1,1.08,mixed salads,,1.2,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,potato-salad-piemontaise-style-prepacked_25609,leafy_salad,0.9,macro:name_hints:leafy_salad,,75.8,"potato salad, piemontaise-style","potato salad, piemontaise-style",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,grains_refined,0.9,macro:name_hints:grains_refined,,16.1,25614,0,0,4.35,1.7,0,0,0,124.1,124.1,protein_moderate;carb_high,starters and dishes,"Prepared rice salad, canned",Prepared rice salad,canned;prepared,,,,5.13,,0,1,1,1.1,mixed salads,,1.0,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,prepared-rice-salad-canned_25614,leafy_salad,0.9,macro:name_hints:leafy_salad,,72.5,prepared rice salad,rice salad,recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,pasta_noodles,0.9,macro:name_hints:pasta_noodles,,13.7,25615,0,0,8.1,1.7,0,0,0,150.5,150.5,protein_moderate;carb_moderate;fat_moderate,starters and dishes,"Prepared pasta salad, vegetarian","Prepared pasta salad, vegetarian",vegetarian;prepared,,,,5.7,,0,1,1,1.04,mixed salads,,2.3,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,prepared-pasta-salad-vegetarian_25615,leafy_salad,0.9,macro:name_hints:leafy_salad,,72.6,"prepared pasta salad, vegetarian","pasta salad, vegetarian",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,3.07,25616,0,0,0.7,1.51,0,0,0,22.3,29.9,protein_low;carb_low;fat_low,starters and dishes,"Salad, vegetable, without dressing (average)","Salad, vegetable",without_dressing;note:average,,,,0.94,,0,0,1,0.031,mixed salads,,2.27,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,salad-vegetable-without-dressing-average_25616,leafy_salad,0.9,macro:name_hints:leafy_salad,,93.2,"salad, vegetable","salad, vegetable",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,pasta_noodles,0.9,macro:name_hints:pasta_noodles,,14.0,25619,0,0,9.94,1.98,0,0,0,166.2,166.2,protein_moderate;carb_moderate;fat_moderate,starters and dishes,"Prepared pasta salad, with vegetable, meat or fish, prepacked","Prepared pasta salad, meat or fish",with_vegetable;prepacked;prepared,fish_white,0.0,,5.19,,1,1,1,0.95,mixed salads,,2.16,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,,,prepared-pasta-salad-with-vegetable-meat-or-fish-prepacked_25619,leafy_salad,0.9,macro:name_hints:leafy_salad,,70.5,"prepared pasta salad, meat or fish","pasta salad, meat or fish",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,7.0,25626,0,0,9.3,4.11,0,0,0,122.9,122.9,protein_low;carb_moderate;fat_moderate,starters and dishes,"Mixed diced vegetables salad, w sauce, prepacked",Mixed diced vegetables salad,with_sauce;prepacked,,,,2.81,,0,0,1,1.04,mixed salads,,2.3,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,mixed-diced-vegetables-salad-with-sauce-prepacked_25626,leafy_salad,0.9,macro:name_hints:leafy_salad,,78.3,mixed diced vegetables salad,mixed diced vegetables salad,recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,4.88,25628,0,0,10.0,2.0,0,0,0,142.0,142.0,protein_moderate;carb_low;fat_high,starters and dishes,"Caesar's salad (salad, chicken, croûtons, sauce), prepacked",Caesar's salad,chicken;croutons;sauce;prepacked,,,,8.13,,0,0,1,0.75,mixed salads,,1.71,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,caesar-s-salad-salad-chicken-croutons-sauce-prepacked_25628,leafy_salad,0.9,macro:name_hints:leafy_salad,,71.8,caesar's salad,caesar's salad,recipe_like,False,False,tag_salad_like
0.0,breakfast;dinner;lunch,grains_whole,0.9,macro:name_hints:grains_whole,,17.4,25629,0,0,8.3,3.3,0,0,0,159.5,168.0,carb_high;fat_moderate,starters and dishes,"Salad, veggie, bulgur and/or quinoa-based, with vegetables, prepacked","Salad, veggie, bulgur and/or quinoa-based",with_vegetables;prepacked,eggs,0.0,,3.79,,1,1,1,0.77,mixed salads,,4.61,,0,1,,,0,,,0,,0,0,1,0,0,,1.0,,0,,,0,0,,,,salad-veggie-bulgur-and-or-quinoa-based-with-vegetables-prepacked_25629,leafy_salad,0.9,macro:name_hints:leafy_salad,,65.5,"salad, veggie, bulgur and / or quinoa-based","salad, veggie, bulgur and / or quinoa-based",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,6.01,26257,0,0,5.0,3.64,0,0,0,73.0,73.0,protein_low;carb_moderate;fat_moderate,starters and dishes,"Grated carrots, w sauce, prepacked",Grated carrots,with_sauce;prepacked,,,,0.98,,0,0,1,0.67,mixed salads,,5.2,,0,0,,,0,,,0,,0,0,0,0,0,,,,0,,,0,0,,,,grated-carrots-with-sauce-prepacked_26257,cooked,0.0,,,84.7,grated carrots,grated carrots,recipe_like,False,False,main_group:starters and dishes
0.0,dinner;lunch,,,,,7.45,26258,0,0,4.94,2.66,0,0,0,79.4,79.4,protein_low;carb_moderate,starters and dishes,"Beetroot salad, w sauce, prepacked",Beetroot salad,with_sauce;prepacked,,,,1.29,,0,0,1,0.7,mixed salads,,5.3,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,beetroot-salad-with-sauce-prepacked_26258,leafy_salad,0.9,macro:name_hints:leafy_salad,,83.5,beetroot salad,beetroot salad,recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,5.78,26259,0,0,8.1,3.0,0,0,0,99.8,105.0,protein_low;carb_moderate;fat_moderate,starters and dishes,"Coleslaw, w sauce, prepacked",Coleslaw,with_sauce;prepacked,,,,0.94,,0,0,0,0.88,mixed salads,,4.72,,0,0,,,0,,,0,,0,0,0,0,0,,,,0,,,0,0,,,,coleslaw-with-sauce-prepacked_26259,,,,,80.4,coleslaw,coleslaw,recipe_like,False,False,main_group:starters and dishes
0.0,breakfast;dinner;lunch;snack,,,,,1.97,26260,0,0,11.3,1.48,0,0,0,114.0,114.0,protein_low;carb_low;fat_high,starters and dishes,"Cucumber salad, w fresh cream cheese sauce, prepacked","Cucumber salad, w fresh cream cheese sauce",prepacked,,0.0,,1.1,,1,0,1,1.07,mixed salads,,1.39,,0,1,,1.0,0,,,0,,0,1,0,0,0,,1.0,1.0,0,,,0,0,,1.0,1.0,cucumber-salad-w-fresh-cream-cheese-sauce-prepacked_26260,leafy_salad,0.9,macro:name_hints:leafy_salad,,,"cucumber salad, w fresh cream cheese sauce","cucumber salad, w fresh cream cheese sauce",recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,8.9,26261,0,0,11.8,3.6,0,0,0,169.8,169.8,protein_moderate;carb_moderate;fat_high,starters and dishes,"Lentil salad w smoked sausage, prepacked",Lentil salad w smoked sausage,prepacked,processed_meat,0.9,macro:name_hints:processed_meat,7.0,,1,0,1,0.89,mixed salads,,0.9,,0,0,,,0,,,0,,0,0,1,0,0,,1.0,,0,,,0,0,,,,lentil-salad-w-smoked-sausage-prepacked_26261,leafy_salad,0.9,macro:name_hints:leafy_salad,,,lentil salad w smoked sausage,lentil salad w smoked sausage,recipe_like,False,False,tag_salad_like
0.0,dinner;lunch,,,,,1.4,26262,0,0,7.1,2.0,0,0,0,77.5,77.5,protein_low;carb_low;fat_moderate,starters and dishes,"Greec salad, w sauce, prepacked",Greec salad,with_sauce;prepacked,,,,2.0,,0,0,1,1.04,mixed salads,,1.4,,0,0,,,0,,,0,,0,0,0,0,0,,1.0,,0,,,0,0,,1.0,1.0,greec-salad-with-sauce-prepacked_26262,leafy_salad,0.9,macro:name_hints:leafy_salad,,,greec salad,greec salad,recipe_like,False,False,tag_salad_like
